dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
citeseer,deepwalk,256,10,10,1,1,0.6890562709304836,0.7342342342342343,0.7342342342342343,00:00:05.084
citeseer,deepwalk,256,10,10,1,1,0.6849508269131052,0.7357357357357357,0.7357357357357357,00:00:04.933
citeseer,deepwalk,256,10,10,1,1,0.6650683310550641,0.7162162162162162,0.7162162162162162,00:00:05.186
citeseer,deepwalk,256,10,10,1,1,0.6726641023970276,0.7147147147147147,0.7147147147147147,00:00:05.338
citeseer,deepwalk,256,10,10,1,1,0.6671881988632394,0.7147147147147147,0.7147147147147147,00:00:05.434
citeseer,deepwalk,256,10,10,1,1,0.6778977448940674,0.7252252252252253,0.7252252252252253,00:00:05.253
citeseer,deepwalk,256,10,10,1,1,0.6638692903462547,0.7177177177177178,0.7177177177177178,00:00:05.113
citeseer,deepwalk,256,10,10,1,1,0.6531773608022174,0.6996996996996997,0.6996996996996997,00:00:05.227
citeseer,deepwalk,256,10,10,1,1,0.6647454189816232,0.7162162162162162,0.7162162162162162,00:00:05.159
citeseer,deepwalk,256,10,10,1,1,0.6755662384148434,0.7282282282282283,0.7282282282282282,00:00:05.126
citeseer,deepwalk,256,10,10,1,1,0.6562789121814973,0.7072072072072072,0.7072072072072072,00:00:05.437
citeseer,deepwalk,256,10,10,1,1,0.6583520393227161,0.7087087087087086,0.7087087087087087,00:00:05.324
citeseer,deepwalk,256,10,10,1,1,0.6678181419056877,0.7222222222222222,0.7222222222222222,00:00:05.472
citeseer,deepwalk,256,10,10,1,1,0.665315366837525,0.7117117117117117,0.7117117117117117,00:00:05.345
citeseer,deepwalk,256,10,10,1,1,0.6732943585142951,0.7222222222222222,0.7222222222222222,00:00:05.331
citeseer,deepwalk,256,10,10,1,1,0.6744323546144116,0.7252252252252253,0.7252252252252253,00:00:05.146
citeseer,deepwalk,256,10,10,1,1,0.6472027083922006,0.6981981981981982,0.6981981981981982,00:00:05.253
citeseer,deepwalk,256,10,10,1,1,0.6745500499070095,0.7282282282282283,0.7282282282282282,00:00:05.163
citeseer,deepwalk,256,10,10,1,1,0.6570982472492822,0.7042042042042042,0.7042042042042042,00:00:05.270
citeseer,deepwalk,256,10,10,1,1,0.6595707226203312,0.7132132132132132,0.7132132132132132,00:00:05.127
citeseer,deepwalk,256,10,10,1,1,0.6650959254761495,0.7147147147147147,0.7147147147147147,00:00:05.276
citeseer,deepwalk,256,10,10,1,1,0.6692210856961257,0.7252252252252253,0.7252252252252253,00:00:05.167
citeseer,deepwalk,256,10,10,1,1,0.6660758926637735,0.7147147147147147,0.7147147147147147,00:00:05.243
citeseer,deepwalk,256,10,10,1,1,0.6587988704495579,0.7102102102102102,0.7102102102102102,00:00:05.192
citeseer,deepwalk,256,10,10,1,1,0.665382867308689,0.7162162162162162,0.7162162162162162,00:00:05.270
citeseer,deepwalk,256,10,10,1,1,0.6620330984193801,0.7132132132132132,0.7132132132132132,00:00:05.169
citeseer,deepwalk,256,10,10,1,1,0.6836756416333137,0.7312312312312313,0.7312312312312312,00:00:05.269
citeseer,deepwalk,256,10,10,1,1,0.6533606286582924,0.7057057057057057,0.7057057057057057,00:00:05.178
citeseer,deepwalk,256,10,10,1,1,0.6648925255474462,0.7147147147147147,0.7147147147147147,00:00:05.259
citeseer,deepwalk,256,10,10,1,1,0.6544146635880089,0.7072072072072072,0.7072072072072072,00:00:05.191
citeseer,deepwalk,256,10,10,1,1,0.6678657182308517,0.7162162162162162,0.7162162162162162,00:00:05.265
citeseer,deepwalk,256,10,10,1,1,0.6604105319520958,0.7147147147147147,0.7147147147147147,00:00:05.179
citeseer,deepwalk,256,10,10,1,1,0.6784659427963525,0.7207207207207207,0.7207207207207207,00:00:05.311
citeseer,deepwalk,256,10,10,1,1,0.6591435999794153,0.7057057057057057,0.7057057057057057,00:00:05.288
citeseer,deepwalk,256,10,10,1,1,0.6738392037524874,0.7147147147147147,0.7147147147147147,00:00:05.337
citeseer,deepwalk,256,10,10,1,1,0.6792129600079404,0.7252252252252253,0.7252252252252253,00:00:05.161
citeseer,deepwalk,256,10,10,1,1,0.667506768663737,0.7177177177177178,0.7177177177177178,00:00:05.291
citeseer,deepwalk,256,10,10,1,1,0.678441037631663,0.7282282282282283,0.7282282282282282,00:00:05.391
citeseer,deepwalk,256,10,10,1,1,0.6699387674437655,0.7237237237237237,0.7237237237237237,00:00:05.317
citeseer,deepwalk,256,10,10,1,1,0.6603621635941072,0.7132132132132132,0.7132132132132132,00:00:05.204
citeseer,deepwalk,256,10,10,1,1,0.6843712365635092,0.7267267267267268,0.7267267267267268,00:00:05.478
citeseer,deepwalk,256,10,10,1,1,0.6806015780240854,0.7312312312312313,0.7312312312312312,00:00:05.218
citeseer,deepwalk,256,10,10,1,1,0.6785381785123938,0.7297297297297297,0.7297297297297297,00:00:05.258
citeseer,deepwalk,256,10,10,1,1,0.6747036338553918,0.7222222222222222,0.7222222222222222,00:00:05.181
citeseer,deepwalk,256,10,10,1,1,0.6820007960956606,0.7237237237237237,0.7237237237237237,00:00:05.289
citeseer,deepwalk,256,10,10,1,1,0.6754704225870887,0.7222222222222222,0.7222222222222222,00:00:05.181
citeseer,deepwalk,256,10,10,1,1,0.6551525146963663,0.7042042042042042,0.7042042042042042,00:00:05.321
citeseer,deepwalk,256,10,10,1,1,0.6744796986265653,0.7312312312312313,0.7312312312312312,00:00:05.267
citeseer,deepwalk,256,10,10,1,1,0.678946184501323,0.7267267267267268,0.7267267267267268,00:00:05.318
citeseer,deepwalk,256,10,10,1,1,0.6863216152565174,0.7342342342342343,0.7342342342342343,00:00:05.266
