dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,deepwalk,256,10,10,1,1,0.6472780387477364,0.6889556724267468,0.6889556724267468,00:00:06.325,False
citeseer,deepwalk,256,10,10,1,1,0.5348427611992613,0.5898123324396782,0.5898123324396782,00:00:06.325,True
citeseer,deepwalk,256,10,10,1,1,0.6448201462061881,0.6851990984222389,0.6851990984222389,00:00:06.416,False
citeseer,deepwalk,256,10,10,1,1,0.5633521831513874,0.6246648793565683,0.6246648793565683,00:00:06.416,True
citeseer,deepwalk,256,10,10,1,1,0.6407378790372921,0.6799398948159279,0.6799398948159279,00:00:06.108,False
citeseer,deepwalk,256,10,10,1,1,0.5284199717415917,0.6032171581769437,0.6032171581769437,00:00:06.108,True
citeseer,deepwalk,256,10,10,1,1,0.6429003999116826,0.6829451540195342,0.6829451540195342,00:00:05.998,False
citeseer,deepwalk,256,10,10,1,1,0.542419722746225,0.6112600536193029,0.6112600536193029,00:00:05.998,True
citeseer,deepwalk,256,10,10,1,1,0.6426250925657521,0.6806912096168295,0.6806912096168295,00:00:05.861,False
citeseer,deepwalk,256,10,10,1,1,0.5418815470038408,0.6166219839142091,0.6166219839142091,00:00:05.861,True
citeseer,deepwalk,256,10,10,1,1,0.6454384047890245,0.6859504132231405,0.6859504132231405,00:00:05.771,False
citeseer,deepwalk,256,10,10,1,1,0.5376233015619822,0.5951742627345844,0.5951742627345844,00:00:05.771,True
citeseer,deepwalk,256,10,10,1,1,0.6523949031691568,0.6942148760330579,0.6942148760330579,00:00:06.261,False
citeseer,deepwalk,256,10,10,1,1,0.524204094697762,0.5844504021447721,0.5844504021447721,00:00:06.261,True
citeseer,deepwalk,256,10,10,1,1,0.6385983557155842,0.6754320060105184,0.6754320060105184,00:00:06.483,False
citeseer,deepwalk,256,10,10,1,1,0.5409200718243521,0.6005361930294906,0.6005361930294906,00:00:06.483,True
citeseer,deepwalk,256,10,10,1,1,0.6506256961586706,0.6919609316303531,0.6919609316303531,00:00:06.206,False
citeseer,deepwalk,256,10,10,1,1,0.5327259554226096,0.5951742627345844,0.5951742627345844,00:00:06.206,True
citeseer,deepwalk,256,10,10,1,1,0.6350447106666766,0.6739293764087152,0.6739293764087152,00:00:06.189,False
citeseer,deepwalk,256,10,10,1,1,0.5568051974847951,0.6246648793565683,0.6246648793565683,00:00:06.189,True
citeseer,deepwalk,256,10,10,1,1,0.6467455936765434,0.6844477836213373,0.6844477836213373,00:00:06.496,False
citeseer,deepwalk,256,10,10,1,1,0.5468805413736288,0.6058981233243967,0.6058981233243967,00:00:06.496,True
