dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,deepwalk,256,10,10,1,1,0.6673491331575212,0.7162162162162162,0.7162162162162162,00:00:05.612,False
citeseer,deepwalk,256,10,10,1,1,0.5322642448223843,0.6096256684491979,0.6096256684491979,00:00:05.612,True
citeseer,deepwalk,256,10,10,1,1,0.6837525572340475,0.7267267267267268,0.7267267267267268,00:00:06.141,False
citeseer,deepwalk,256,10,10,1,1,0.5994478896490555,0.679144385026738,0.679144385026738,00:00:06.141,True
citeseer,deepwalk,256,10,10,1,1,0.676771291946198,0.7207207207207207,0.7207207207207207,00:00:06.491,False
citeseer,deepwalk,256,10,10,1,1,0.5617379841507292,0.6310160427807486,0.6310160427807486,00:00:06.491,True
citeseer,deepwalk,256,10,10,1,1,0.6721369641212801,0.7192192192192193,0.7192192192192193,00:00:06.515,False
citeseer,deepwalk,256,10,10,1,1,0.5795231329830481,0.6684491978609626,0.6684491978609626,00:00:06.515,True
citeseer,deepwalk,256,10,10,1,1,0.689974047134018,0.7282282282282283,0.7282282282282282,00:00:06.638,False
citeseer,deepwalk,256,10,10,1,1,0.5467564408723049,0.6149732620320856,0.6149732620320856,00:00:06.638,True
citeseer,deepwalk,256,10,10,1,1,0.6579866942018621,0.7132132132132132,0.7132132132132132,00:00:06.280,False
citeseer,deepwalk,256,10,10,1,1,0.5799306225531943,0.6577540106951871,0.6577540106951871,00:00:06.280,True
citeseer,deepwalk,256,10,10,1,1,0.6681741302909705,0.7162162162162162,0.7162162162162162,00:00:06.478,False
citeseer,deepwalk,256,10,10,1,1,0.572266616415528,0.6470588235294118,0.6470588235294118,00:00:06.478,True
citeseer,deepwalk,256,10,10,1,1,0.675341772879924,0.7222222222222222,0.7222222222222222,00:00:06.364,False
citeseer,deepwalk,256,10,10,1,1,0.5555635208602655,0.6310160427807486,0.6310160427807486,00:00:06.364,True
citeseer,deepwalk,256,10,10,1,1,0.667402984011074,0.7147147147147147,0.7147147147147147,00:00:06.021,False
citeseer,deepwalk,256,10,10,1,1,0.5952081748731026,0.6737967914438503,0.6737967914438503,00:00:06.021,True
citeseer,deepwalk,256,10,10,1,1,0.6727817855583442,0.7207207207207207,0.7207207207207207,00:00:06.139,False
citeseer,deepwalk,256,10,10,1,1,0.5646788375621327,0.6363636363636364,0.6363636363636364,00:00:06.139,True
citeseer,deepwalk,256,10,10,1,1,0.6662544142648935,0.7162162162162162,0.7162162162162162,00:00:06.608,False
citeseer,deepwalk,256,10,10,1,1,0.5906361620647336,0.6577540106951871,0.6577540106951871,00:00:06.608,True
citeseer,deepwalk,256,10,10,1,1,0.6583388593380072,0.7072072072072072,0.7072072072072072,00:00:06.200,False
citeseer,deepwalk,256,10,10,1,1,0.5749135615316179,0.6631016042780749,0.6631016042780749,00:00:06.200,True
citeseer,deepwalk,256,10,10,1,1,0.6637064051736363,0.7192192192192193,0.7192192192192193,00:00:06.336,False
citeseer,deepwalk,256,10,10,1,1,0.5385921618064475,0.6310160427807486,0.6310160427807486,00:00:06.336,True
citeseer,deepwalk,256,10,10,1,1,0.6715610410359836,0.7192192192192193,0.7192192192192193,00:00:06.146,False
citeseer,deepwalk,256,10,10,1,1,0.5311546356185105,0.6149732620320856,0.6149732620320856,00:00:06.146,True
citeseer,deepwalk,256,10,10,1,1,0.679138832554603,0.7312312312312313,0.7312312312312312,00:00:06.350,False
citeseer,deepwalk,256,10,10,1,1,0.540998940113926,0.6363636363636364,0.6363636363636364,00:00:06.350,True
citeseer,deepwalk,256,10,10,1,1,0.6624440932107531,0.7162162162162162,0.7162162162162162,00:00:05.871,False
citeseer,deepwalk,256,10,10,1,1,0.5569257865785268,0.6310160427807486,0.6310160427807486,00:00:05.871,True
citeseer,deepwalk,256,10,10,1,1,0.6575525160519633,0.7102102102102102,0.7102102102102102,00:00:06.711,False
citeseer,deepwalk,256,10,10,1,1,0.5765148771391774,0.6524064171122995,0.6524064171122995,00:00:06.711,True
