dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
citeseer,node2vec,256,10,10,0.25,0.25,0.665589453893296,0.7132132132132132,0.7132132132132132,00:00:09.058
citeseer,node2vec,256,10,10,0.25,0.25,0.669580315503568,0.7252252252252253,0.7252252252252253,00:00:09.970
citeseer,node2vec,256,10,10,0.25,0.25,0.6617016408999796,0.7087087087087086,0.7087087087087087,00:00:08.894
citeseer,node2vec,256,10,10,0.25,0.25,0.6773784436128127,0.7252252252252253,0.7252252252252253,00:00:08.598
citeseer,node2vec,256,10,10,0.25,0.25,0.6732538237547092,0.7222222222222222,0.7222222222222222,00:00:08.736
citeseer,node2vec,256,10,10,0.25,0.25,0.6650196655418065,0.7162162162162162,0.7162162162162162,00:00:08.845
citeseer,node2vec,256,10,10,0.25,0.25,0.6697606209219472,0.7192192192192193,0.7192192192192193,00:00:08.877
citeseer,node2vec,256,10,10,0.25,0.25,0.6524786623668635,0.7072072072072072,0.7072072072072072,00:00:09.630
citeseer,node2vec,256,10,10,0.25,0.25,0.6859747396355459,0.7357357357357357,0.7357357357357357,00:00:09.790
citeseer,node2vec,256,10,10,0.25,0.25,0.6676639857823444,0.7192192192192193,0.7192192192192193,00:00:09.680
citeseer,node2vec,256,10,10,0.25,0.25,0.6773124393264659,0.7267267267267268,0.7267267267267268,00:00:09.400
citeseer,node2vec,256,10,10,0.25,0.25,0.6576050628723001,0.7102102102102102,0.7102102102102102,00:00:09.431
citeseer,node2vec,256,10,10,0.25,0.25,0.6687844762404064,0.7237237237237237,0.7237237237237237,00:00:09.704
citeseer,node2vec,256,10,10,0.25,0.25,0.6833923377694812,0.7267267267267268,0.7267267267267268,00:00:08.424
citeseer,node2vec,256,10,10,0.25,0.25,0.6777986259679926,0.7267267267267268,0.7267267267267268,00:00:08.876
citeseer,node2vec,256,10,10,0.25,0.25,0.6728909370939711,0.7237237237237237,0.7237237237237237,00:00:09.551
citeseer,node2vec,256,10,10,0.25,0.25,0.6698003441037987,0.7192192192192193,0.7192192192192193,00:00:09.034
citeseer,node2vec,256,10,10,0.25,0.25,0.6652372097235452,0.7147147147147147,0.7147147147147147,00:00:09.003
citeseer,node2vec,256,10,10,0.25,0.25,0.6667219389509499,0.7207207207207207,0.7207207207207207,00:00:09.391
citeseer,node2vec,256,10,10,0.25,0.25,0.6726356984744847,0.7117117117117117,0.7117117117117117,00:00:08.698
citeseer,node2vec,256,10,10,0.25,0.25,0.6883188175933874,0.7297297297297297,0.7297297297297297,00:00:08.570
citeseer,node2vec,256,10,10,0.25,0.25,0.6644936465490195,0.7222222222222222,0.7222222222222222,00:00:08.905
