dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,node2vec,256,10,10,0.25,4,0.5841410574619013,0.6204306459689535,0.6204306459689535,00:00:05.877,False
citeseer,node2vec,256,10,10,0.25,4,0.5150474692098329,0.5642857142857143,0.5642857142857143,00:00:05.877,True
citeseer,node2vec,256,10,10,0.25,4,0.5753521727077019,0.6089133700550826,0.6089133700550826,00:00:05.613,False
citeseer,node2vec,256,10,10,0.25,4,0.4958587560782605,0.55,0.55,00:00:05.613,True
citeseer,node2vec,256,10,10,0.25,4,0.5852555828139837,0.6219328993490235,0.6219328993490235,00:00:05.817,False
citeseer,node2vec,256,10,10,0.25,4,0.5100776675885796,0.5642857142857143,0.5642857142857143,00:00:05.817,True
citeseer,node2vec,256,10,10,0.25,4,0.5917616749300879,0.6274411617426139,0.6274411617426139,00:00:06.065,False
citeseer,node2vec,256,10,10,0.25,4,0.4964660259005076,0.5571428571428572,0.5571428571428572,00:00:06.065,True
citeseer,node2vec,256,10,10,0.25,4,0.6000256208634654,0.6349524286429644,0.6349524286429644,00:00:06.175,False
citeseer,node2vec,256,10,10,0.25,4,0.5132914515138413,0.5660714285714286,0.5660714285714286,00:00:06.175,True
citeseer,node2vec,256,10,10,0.25,4,0.5922277869213638,0.628943415122684,0.628943415122684,00:00:06.151,False
citeseer,node2vec,256,10,10,0.25,4,0.5043406419314769,0.5625,0.5625,00:00:06.151,True
citeseer,node2vec,256,10,10,0.25,4,0.6052636099822503,0.6394591887831748,0.6394591887831748,00:00:05.876,False
citeseer,node2vec,256,10,10,0.25,4,0.5079704999319503,0.5625,0.5625,00:00:05.876,True
citeseer,node2vec,256,10,10,0.25,4,0.5926771452811966,0.6269404106159239,0.6269404106159239,00:00:05.980,False
citeseer,node2vec,256,10,10,0.25,4,0.5182703621294579,0.575,0.575,00:00:05.980,True
citeseer,node2vec,256,10,10,0.25,4,0.5912287986339174,0.6269404106159239,0.6269404106159239,00:00:05.608,False
citeseer,node2vec,256,10,10,0.25,4,0.4958863522757056,0.5589285714285714,0.5589285714285714,00:00:05.608,True
citeseer,node2vec,256,10,10,0.25,4,0.6016691920498862,0.6319479218828242,0.6319479218828242,00:00:05.569,False
citeseer,node2vec,256,10,10,0.25,4,0.5116592958368075,0.5607142857142857,0.5607142857142857,00:00:05.569,True
citeseer,node2vec,256,10,10,0.25,4,0.590790891003055,0.6254381572358538,0.6254381572358538,00:00:05.894,False
citeseer,node2vec,256,10,10,0.25,4,0.49588182534800446,0.5607142857142857,0.5607142857142857,00:00:05.894,True
citeseer,node2vec,256,10,10,0.25,4,0.5937050365077398,0.6309464196294442,0.6309464196294442,00:00:06.220,False
citeseer,node2vec,256,10,10,0.25,4,0.4984415757184482,0.5625,0.5625,00:00:06.220,True
citeseer,node2vec,256,10,10,0.25,4,0.5968737278764609,0.6319479218828242,0.6319479218828242,00:00:06.281,False
citeseer,node2vec,256,10,10,0.25,4,0.49816582452639874,0.5535714285714286,0.5535714285714286,00:00:06.281,True
citeseer,node2vec,256,10,10,0.25,4,0.5997780980007867,0.6354531797696544,0.6354531797696544,00:00:05.879,False
citeseer,node2vec,256,10,10,0.25,4,0.5056454202932358,0.5589285714285714,0.5589285714285714,00:00:05.879,True
citeseer,node2vec,256,10,10,0.25,4,0.5863626614571144,0.6184276414621933,0.6184276414621933,00:00:06.325,False
citeseer,node2vec,256,10,10,0.25,4,0.48077621700587825,0.5410714285714285,0.5410714285714285,00:00:06.325,True
citeseer,node2vec,256,10,10,0.25,4,0.5891235545660999,0.6219328993490235,0.6219328993490235,00:00:06.046,False
citeseer,node2vec,256,10,10,0.25,4,0.4983579869833851,0.5464285714285714,0.5464285714285714,00:00:06.046,True
citeseer,node2vec,256,10,10,0.25,4,0.585110028079334,0.6194291437155733,0.6194291437155733,00:00:05.648,False
citeseer,node2vec,256,10,10,0.25,4,0.496148288099403,0.55,0.55,00:00:05.648,True
citeseer,node2vec,256,10,10,0.25,4,0.5966890724075135,0.628442663995994,0.628442663995994,00:00:05.516,False
citeseer,node2vec,256,10,10,0.25,4,0.48480417364933226,0.5446428571428571,0.5446428571428571,00:00:05.516,True
citeseer,node2vec,256,10,10,0.25,4,0.6056913539849752,0.6404606910365548,0.6404606910365548,00:00:05.908,False
citeseer,node2vec,256,10,10,0.25,4,0.48723742504670114,0.5464285714285714,0.5464285714285714,00:00:05.908,True
citeseer,node2vec,256,10,10,0.25,4,0.5997998068557028,0.6364546820230346,0.6364546820230346,00:00:06.145,False
citeseer,node2vec,256,10,10,0.25,4,0.4970681608931389,0.5553571428571429,0.5553571428571429,00:00:06.145,True
citeseer,node2vec,256,10,10,0.25,4,0.6038765166170682,0.6384576865297947,0.6384576865297947,00:00:06.327,False
citeseer,node2vec,256,10,10,0.25,4,0.4992083358651553,0.5535714285714286,0.5535714285714286,00:00:06.327,True
citeseer,node2vec,256,10,10,0.25,4,0.5881777181404243,0.6269404106159239,0.6269404106159239,00:00:06.065,False
citeseer,node2vec,256,10,10,0.25,4,0.49668106506232396,0.5553571428571429,0.5553571428571429,00:00:06.065,True
citeseer,node2vec,256,10,10,0.25,4,0.5912801867697784,0.6274411617426139,0.6274411617426139,00:00:06.248,False
citeseer,node2vec,256,10,10,0.25,4,0.5069492611736032,0.5607142857142857,0.5607142857142857,00:00:06.248,True
citeseer,node2vec,256,10,10,0.25,4,0.6038942987082149,0.6389584376564847,0.6389584376564847,00:00:05.887,False
citeseer,node2vec,256,10,10,0.25,4,0.5068335136604973,0.5625,0.5625,00:00:05.887,True
citeseer,node2vec,256,10,10,0.25,4,0.5883248847574032,0.6249374061091637,0.6249374061091637,00:00:05.684,False
citeseer,node2vec,256,10,10,0.25,4,0.496158031715302,0.5642857142857143,0.5642857142857143,00:00:05.684,True
citeseer,node2vec,256,10,10,0.25,4,0.5941157230538839,0.627941912869304,0.627941912869304,00:00:05.567,False
citeseer,node2vec,256,10,10,0.25,4,0.49809571586283163,0.5553571428571429,0.5553571428571429,00:00:05.567,True
citeseer,node2vec,256,10,10,0.25,4,0.5947363812752755,0.627941912869304,0.627941912869304,00:00:05.973,False
citeseer,node2vec,256,10,10,0.25,4,0.49519371907098586,0.5464285714285714,0.5464285714285714,00:00:05.973,True
citeseer,node2vec,256,10,10,0.25,4,0.5916270682553929,0.6259389083625438,0.6259389083625438,00:00:05.927,False
citeseer,node2vec,256,10,10,0.25,4,0.4887337467560687,0.55,0.55,00:00:05.927,True
citeseer,node2vec,256,10,10,0.25,4,0.5888427332273696,0.6249374061091637,0.6249374061091637,00:00:06.127,False
