dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,node2vec,256,10,10,0.25,4,0.6812140185186785,0.7252252252252253,0.7252252252252253,00:00:07.555,False
citeseer,node2vec,256,10,10,0.25,4,0.5173127911728483,0.6042780748663101,0.6042780748663101,00:00:07.555,True
citeseer,node2vec,256,10,10,0.25,4,0.6934605058099006,0.7402402402402404,0.7402402402402403,00:00:07.429,False
citeseer,node2vec,256,10,10,0.25,4,0.5294546383900517,0.6096256684491979,0.6096256684491979,00:00:07.429,True
citeseer,node2vec,256,10,10,0.25,4,0.6867313077434859,0.7312312312312313,0.7312312312312312,00:00:07.003,False
citeseer,node2vec,256,10,10,0.25,4,0.537683984518462,0.6149732620320856,0.6149732620320856,00:00:07.003,True
citeseer,node2vec,256,10,10,0.25,4,0.6860906954129024,0.7357357357357357,0.7357357357357357,00:00:06.754,False
citeseer,node2vec,256,10,10,0.25,4,0.5603319498497994,0.6310160427807486,0.6310160427807486,00:00:06.754,True
citeseer,node2vec,256,10,10,0.25,4,0.6838831482037083,0.7297297297297297,0.7297297297297297,00:00:07.573,False
citeseer,node2vec,256,10,10,0.25,4,0.5700784157363105,0.6577540106951871,0.6577540106951871,00:00:07.573,True
citeseer,node2vec,256,10,10,0.25,4,0.6795672374741475,0.7267267267267268,0.7267267267267268,00:00:07.537,False
citeseer,node2vec,256,10,10,0.25,4,0.5881895960619364,0.6524064171122995,0.6524064171122995,00:00:07.537,True
citeseer,node2vec,256,10,10,0.25,4,0.689928717334909,0.7357357357357357,0.7357357357357357,00:00:07.400,False
citeseer,node2vec,256,10,10,0.25,4,0.5405747030747031,0.6149732620320856,0.6149732620320856,00:00:07.400,True
citeseer,node2vec,256,10,10,0.25,4,0.6782164124165244,0.7207207207207207,0.7207207207207207,00:00:07.902,False
citeseer,node2vec,256,10,10,0.25,4,0.5557081668453987,0.6310160427807486,0.6310160427807486,00:00:07.902,True
citeseer,node2vec,256,10,10,0.25,4,0.6771886090691588,0.7297297297297297,0.7297297297297297,00:00:07.292,False
citeseer,node2vec,256,10,10,0.25,4,0.502241179872759,0.5989304812834224,0.5989304812834224,00:00:07.292,True
citeseer,node2vec,256,10,10,0.25,4,0.6667069724061654,0.7087087087087086,0.7087087087087087,00:00:07.371,False
citeseer,node2vec,256,10,10,0.25,4,0.5105157868819831,0.5989304812834224,0.5989304812834224,00:00:07.371,True
citeseer,node2vec,256,10,10,0.25,4,0.6830352620804515,0.7267267267267268,0.7267267267267268,00:00:07.303,False
citeseer,node2vec,256,10,10,0.25,4,0.5499712927030885,0.6256684491978609,0.6256684491978609,00:00:07.303,True
citeseer,node2vec,256,10,10,0.25,4,0.6816222021271129,0.7192192192192193,0.7192192192192193,00:00:07.067,False
citeseer,node2vec,256,10,10,0.25,4,0.5327365587763738,0.6096256684491979,0.6096256684491979,00:00:07.067,True
citeseer,node2vec,256,10,10,0.25,4,0.6729841948405418,0.7147147147147147,0.7147147147147147,00:00:07.680,False
citeseer,node2vec,256,10,10,0.25,4,0.5407855498020767,0.6256684491978609,0.6256684491978609,00:00:07.680,True
citeseer,node2vec,256,10,10,0.25,4,0.6810341685876424,0.7177177177177178,0.7177177177177178,00:00:07.047,False
citeseer,node2vec,256,10,10,0.25,4,0.524857371464322,0.6042780748663101,0.6042780748663101,00:00:07.047,True
citeseer,node2vec,256,10,10,0.25,4,0.6763868624401387,0.7222222222222222,0.7222222222222222,00:00:07.611,False
citeseer,node2vec,256,10,10,0.25,4,0.5136577193962683,0.6096256684491979,0.6096256684491979,00:00:07.611,True
citeseer,node2vec,256,10,10,0.25,4,0.6669772267338443,0.7162162162162162,0.7162162162162162,00:00:06.913,False
citeseer,node2vec,256,10,10,0.25,4,0.5469877470451524,0.6149732620320856,0.6149732620320856,00:00:06.913,True
citeseer,node2vec,256,10,10,0.25,4,0.6833356524029773,0.7252252252252253,0.7252252252252253,00:00:07.146,False
citeseer,node2vec,256,10,10,0.25,4,0.5461167655690127,0.6203208556149733,0.6203208556149733,00:00:07.146,True
citeseer,node2vec,256,10,10,0.25,4,0.6801293838926634,0.7207207207207207,0.7207207207207207,00:00:07.029,False
