dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
citeseer,pagerank,256,10,10,0.25,0.25,0.6725868128588396,0.7102102102102102,0.7102102102102102,00:00:35.904
citeseer,pagerank,256,10,10,0.25,0.25,0.6874375761045761,0.7282282282282283,0.7282282282282282,00:00:35.841
citeseer,pagerank,256,10,10,0.25,0.25,0.6916885437264844,0.7342342342342343,0.7342342342342343,00:00:39.299
citeseer,pagerank,256,10,10,0.25,0.25,0.6721809702226333,0.7162162162162162,0.7162162162162162,00:00:32.110
citeseer,pagerank,256,10,10,0.25,0.25,0.6917082389911214,0.7342342342342343,0.7342342342342343,00:00:37.782
citeseer,pagerank,256,10,10,0.25,0.25,0.6891163420949543,0.7312312312312313,0.7312312312312312,00:00:37.304
citeseer,pagerank,256,10,10,0.25,0.25,0.678549152922365,0.7282282282282283,0.7282282282282282,00:00:37.042
citeseer,pagerank,256,10,10,0.25,0.25,0.6710962981607174,0.7162162162162162,0.7162162162162162,00:00:38.914
citeseer,pagerank,256,10,10,0.25,0.25,0.6681676550882748,0.7102102102102102,0.7102102102102102,00:00:31.903
citeseer,pagerank,256,10,10,0.25,0.25,0.6836808323507725,0.7237237237237237,0.7237237237237237,00:00:37.394
citeseer,pagerank,256,10,10,0.25,0.25,0.6956105804011271,0.7312312312312313,0.7312312312312312,00:00:37.005
citeseer,pagerank,256,10,10,0.25,0.25,0.693413492203118,0.7402402402402404,0.7402402402402403,00:00:34.714
citeseer,pagerank,256,10,10,0.25,0.25,0.6776602941048617,0.7192192192192193,0.7192192192192193,00:00:39.887
citeseer,pagerank,256,10,10,0.25,0.25,0.6899380639552503,0.7267267267267268,0.7267267267267268,00:00:31.865
citeseer,pagerank,256,10,10,0.25,0.25,0.6839965125046961,0.7237237237237237,0.7237237237237237,00:00:36.248
citeseer,pagerank,256,10,10,0.25,0.25,0.6934047427171371,0.7357357357357357,0.7357357357357357,00:00:37.513
citeseer,pagerank,256,10,10,0.25,0.25,0.6952120177744318,0.7297297297297297,0.7297297297297297,00:00:33.918
citeseer,pagerank,256,10,10,0.25,0.25,0.69290427616806,0.7297297297297297,0.7297297297297297,00:00:40.284
citeseer,pagerank,256,10,10,0.25,0.25,0.6790052419099472,0.7267267267267268,0.7267267267267268,00:00:32.609
