dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,pagerank,256,10,10,1,1,0.6404884260228852,0.6791885800150262,0.6791885800150262,00:00:25.906,False
citeseer,pagerank,256,10,10,1,1,0.50569341911163,0.5576407506702413,0.5576407506702413,00:00:25.906,True
citeseer,pagerank,256,10,10,1,1,0.6451178519746841,0.6791885800150262,0.6791885800150262,00:00:24.604,False
citeseer,pagerank,256,10,10,1,1,0.5198897752121231,0.5764075067024129,0.5764075067024129,00:00:24.604,True
citeseer,pagerank,256,10,10,1,1,0.6409817882346022,0.6769346356123216,0.6769346356123216,00:00:25.540,False
citeseer,pagerank,256,10,10,1,1,0.546076024161664,0.6032171581769437,0.6032171581769437,00:00:25.540,True
citeseer,pagerank,256,10,10,1,1,0.650489973052947,0.6874530428249437,0.6874530428249437,00:00:24.898,False
citeseer,pagerank,256,10,10,1,1,0.5421743170081071,0.5924932975871313,0.5924932975871313,00:00:24.898,True
citeseer,pagerank,256,10,10,1,1,0.6484100802099557,0.6844477836213373,0.6844477836213373,00:00:25.426,False
citeseer,pagerank,256,10,10,1,1,0.5351034715853819,0.579088471849866,0.579088471849866,00:00:25.426,True
citeseer,pagerank,256,10,10,1,1,0.6416958705100541,0.6769346356123216,0.6769346356123216,00:00:25.169,False
citeseer,pagerank,256,10,10,1,1,0.5437899146604892,0.6005361930294906,0.6005361930294906,00:00:25.169,True
citeseer,pagerank,256,10,10,1,1,0.6428710884651324,0.6806912096168295,0.6806912096168295,00:00:24.878,False
citeseer,pagerank,256,10,10,1,1,0.5402454153689197,0.5951742627345844,0.5951742627345844,00:00:24.878,True
citeseer,pagerank,256,10,10,1,1,0.6448615661041696,0.6776859504132231,0.6776859504132231,00:00:25.480,False
citeseer,pagerank,256,10,10,1,1,0.5193707410667697,0.5844504021447721,0.5844504021447721,00:00:25.480,True
citeseer,pagerank,256,10,10,1,1,0.635836842748783,0.6731780616078137,0.6731780616078137,00:00:24.759,False
citeseer,pagerank,256,10,10,1,1,0.5226955065132023,0.5898123324396782,0.5898123324396782,00:00:24.759,True
citeseer,pagerank,256,10,10,1,1,0.6436873303611146,0.67618332081142,0.67618332081142,00:00:25.762,False
citeseer,pagerank,256,10,10,1,1,0.541271088675651,0.5978552278820375,0.5978552278820375,00:00:25.762,True
citeseer,pagerank,256,10,10,1,1,0.6398530005392854,0.6731780616078137,0.6731780616078137,00:00:24.632,False
citeseer,pagerank,256,10,10,1,1,0.500035226999347,0.5656836461126006,0.5656836461126006,00:00:24.632,True
citeseer,pagerank,256,10,10,1,1,0.6531824086682674,0.6874530428249437,0.6874530428249437,00:00:25.941,False
citeseer,pagerank,256,10,10,1,1,0.5176828145085001,0.5817694369973191,0.5817694369973191,00:00:25.941,True
citeseer,pagerank,256,10,10,1,1,0.6330893178938181,0.6694214876033058,0.6694214876033058,00:00:24.683,False
citeseer,pagerank,256,10,10,1,1,0.5617274563038738,0.6085790884718498,0.6085790884718498,00:00:24.683,True
citeseer,pagerank,256,10,10,1,1,0.64169711490371,0.6776859504132231,0.6776859504132231,00:00:25.545,False
citeseer,pagerank,256,10,10,1,1,0.5261105535410824,0.5951742627345844,0.5951742627345844,00:00:25.545,True
citeseer,pagerank,256,10,10,1,1,0.6413689722489556,0.6739293764087152,0.6739293764087152,00:00:24.942,False
citeseer,pagerank,256,10,10,1,1,0.5412547338147925,0.6005361930294906,0.6005361930294906,00:00:24.942,True
citeseer,pagerank,256,10,10,1,1,0.6356392103982982,0.6739293764087152,0.6739293764087152,00:00:25.166,False
citeseer,pagerank,256,10,10,1,1,0.5202331039282554,0.5817694369973191,0.5817694369973191,00:00:25.166,True
citeseer,pagerank,256,10,10,1,1,0.6508367936187432,0.6874530428249437,0.6874530428249437,00:00:23.021,False
citeseer,pagerank,256,10,10,1,1,0.5282377976602556,0.5924932975871313,0.5924932975871313,00:00:23.021,True
citeseer,pagerank,256,10,10,1,1,0.6502637307463109,0.6882043576258452,0.6882043576258452,00:00:22.543,False
citeseer,pagerank,256,10,10,1,1,0.5572780035930814,0.6058981233243967,0.6058981233243967,00:00:22.543,True
citeseer,pagerank,256,10,10,1,1,0.641074213539673,0.6724267468069121,0.6724267468069121,00:00:23.350,False
citeseer,pagerank,256,10,10,1,1,0.5208722583722584,0.5871313672922251,0.5871313672922251,00:00:23.350,True
citeseer,pagerank,256,10,10,1,1,0.63404540114578,0.6701728024042074,0.6701728024042074,00:00:22.407,False
citeseer,pagerank,256,10,10,1,1,0.5059296694101568,0.5683646112600537,0.5683646112600537,00:00:22.407,True
citeseer,pagerank,256,10,10,1,1,0.6480762255927294,0.6844477836213373,0.6844477836213373,00:00:23.448,False
citeseer,pagerank,256,10,10,1,1,0.514014872282376,0.5737265415549598,0.5737265415549598,00:00:23.448,True
citeseer,pagerank,256,10,10,1,1,0.6412162812016041,0.6791885800150262,0.6791885800150262,00:00:22.454,False
citeseer,pagerank,256,10,10,1,1,0.5249500416860747,0.5844504021447721,0.5844504021447721,00:00:22.454,True
citeseer,pagerank,256,10,10,1,1,0.6393512895910431,0.6784372652141247,0.6784372652141247,00:00:23.215,False
citeseer,pagerank,256,10,10,1,1,0.5263769242445121,0.5844504021447721,0.5844504021447721,00:00:23.215,True
citeseer,pagerank,256,10,10,1,1,0.6342263080531848,0.6686701728024043,0.6686701728024043,00:00:22.582,False
citeseer,pagerank,256,10,10,1,1,0.531484362872181,0.5924932975871313,0.5924932975871313,00:00:22.582,True
citeseer,pagerank,256,10,10,1,1,0.6380538586701944,0.6769346356123216,0.6769346356123216,00:00:22.859,False
citeseer,pagerank,256,10,10,1,1,0.5336351309912606,0.5978552278820375,0.5978552278820375,00:00:22.859,True
citeseer,pagerank,256,10,10,1,1,0.6430326437418837,0.6791885800150262,0.6791885800150262,00:00:22.923,False
citeseer,pagerank,256,10,10,1,1,0.5181821545143509,0.5710455764075067,0.5710455764075067,00:00:22.923,True
citeseer,pagerank,256,10,10,1,1,0.6364906759478107,0.6701728024042074,0.6701728024042074,00:00:22.529,False
citeseer,pagerank,256,10,10,1,1,0.5161765780316538,0.5764075067024129,0.5764075067024129,00:00:22.529,True
citeseer,pagerank,256,10,10,1,1,0.6506653044325209,0.6859504132231405,0.6859504132231405,00:00:23.278,False
citeseer,pagerank,256,10,10,1,1,0.5499896399271345,0.6005361930294906,0.6005361930294906,00:00:23.278,True
citeseer,pagerank,256,10,10,1,1,0.6425263512712751,0.6784372652141247,0.6784372652141247,00:00:22.189,False
citeseer,pagerank,256,10,10,1,1,0.5310163417469146,0.5844504021447721,0.5844504021447721,00:00:22.189,True
citeseer,pagerank,256,10,10,1,1,0.6399686028775383,0.6746806912096168,0.6746806912096168,00:00:22.561,False
citeseer,pagerank,256,10,10,1,1,0.514664206448094,0.5737265415549598,0.5737265415549598,00:00:22.561,True
citeseer,pagerank,256,10,10,1,1,0.6507839791748203,0.6836964688204358,0.6836964688204358,00:00:23.416,False
citeseer,pagerank,256,10,10,1,1,0.5551956066892713,0.6166219839142091,0.6166219839142091,00:00:23.416,True
citeseer,pagerank,256,10,10,1,1,0.6417190907678479,0.6784372652141247,0.6784372652141247,00:00:23.296,False
citeseer,pagerank,256,10,10,1,1,0.5268491032776746,0.5871313672922251,0.5871313672922251,00:00:23.296,True
citeseer,pagerank,256,10,10,1,1,0.6405246415424376,0.6739293764087152,0.6739293764087152,00:00:23.341,False
citeseer,pagerank,256,10,10,1,1,0.5526520281044297,0.6085790884718498,0.6085790884718498,00:00:23.341,True
citeseer,pagerank,256,10,10,1,1,0.6440345569055578,0.6806912096168295,0.6806912096168295,00:00:23.274,False
citeseer,pagerank,256,10,10,1,1,0.5557157537201055,0.6112600536193029,0.6112600536193029,00:00:23.274,True
citeseer,pagerank,256,10,10,1,1,0.639331356142384,0.67618332081142,0.67618332081142,00:00:23.299,False
citeseer,pagerank,256,10,10,1,1,0.5305541460418116,0.5898123324396782,0.5898123324396782,00:00:23.299,True
citeseer,pagerank,256,10,10,1,1,0.6388108240948833,0.67618332081142,0.67618332081142,00:00:22.425,False
citeseer,pagerank,256,10,10,1,1,0.5283796540605985,0.579088471849866,0.579088471849866,00:00:22.425,True
citeseer,pagerank,256,10,10,1,1,0.6515657561715561,0.6867017280240421,0.6867017280240421,00:00:22.976,False
citeseer,pagerank,256,10,10,1,1,0.5227560950124512,0.579088471849866,0.579088471849866,00:00:22.976,True
citeseer,pagerank,256,10,10,1,1,0.6266094852737464,0.6656649135987979,0.6656649135987979,00:00:23.438,False
citeseer,pagerank,256,10,10,1,1,0.5170097680329125,0.5710455764075067,0.5710455764075067,00:00:23.438,True
citeseer,pagerank,256,10,10,1,1,0.644239606456804,0.6754320060105184,0.6754320060105184,00:00:23.176,False
citeseer,pagerank,256,10,10,1,1,0.5258074082565901,0.5898123324396782,0.5898123324396782,00:00:23.176,True
citeseer,pagerank,256,10,10,1,1,0.6510725010133879,0.6836964688204358,0.6836964688204358,00:00:23.359,False
citeseer,pagerank,256,10,10,1,1,0.5300491536330334,0.5898123324396782,0.5898123324396782,00:00:23.359,True
citeseer,pagerank,256,10,10,1,1,0.6329756131620417,0.6709241172051089,0.6709241172051089,00:00:23.365,False
citeseer,pagerank,256,10,10,1,1,0.5412239382868343,0.5844504021447721,0.5844504021447721,00:00:23.365,True
citeseer,pagerank,256,10,10,1,1,0.6385872492295669,0.6686701728024043,0.6686701728024043,00:00:23.369,False
citeseer,pagerank,256,10,10,1,1,0.5380175236860173,0.5924932975871313,0.5924932975871313,00:00:23.369,True
citeseer,pagerank,256,10,10,1,1,0.6383266527380789,0.6754320060105184,0.6754320060105184,00:00:21.826,False
citeseer,pagerank,256,10,10,1,1,0.5388501377562519,0.5924932975871313,0.5924932975871313,00:00:21.826,True
citeseer,pagerank,256,10,10,1,1,0.6524760930637861,0.69045830202855,0.69045830202855,00:00:23.221,False
citeseer,pagerank,256,10,10,1,1,0.5516484937284996,0.6058981233243967,0.6058981233243967,00:00:23.221,True
citeseer,pagerank,256,10,10,1,1,0.6402881709668425,0.6784372652141247,0.6784372652141247,00:00:23.454,False
citeseer,pagerank,256,10,10,1,1,0.5523384916722455,0.6032171581769437,0.6032171581769437,00:00:23.454,True
