dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
citeseer,pagerank,256,10,10,1,1,0.6858138200386188,0.7222222222222222,0.7222222222222222,00:00:29.375,False
citeseer,pagerank,256,10,10,1,1,0.5269334524260633,0.6042780748663101,0.6042780748663101,00:00:29.375,True
citeseer,pagerank,256,10,10,1,1,0.6958655832345425,0.7432432432432431,0.7432432432432432,00:00:29.157,False
citeseer,pagerank,256,10,10,1,1,0.5588672215678303,0.6310160427807486,0.6310160427807486,00:00:29.157,True
citeseer,pagerank,256,10,10,1,1,0.6834356267824448,0.7237237237237237,0.7237237237237237,00:00:30.165,False
citeseer,pagerank,256,10,10,1,1,0.5353765121657207,0.6203208556149733,0.6203208556149733,00:00:30.165,True
citeseer,pagerank,256,10,10,1,1,0.6902570594410925,0.7312312312312313,0.7312312312312312,00:00:29.102,False
citeseer,pagerank,256,10,10,1,1,0.5286085690969632,0.6042780748663101,0.6042780748663101,00:00:29.102,True
citeseer,pagerank,256,10,10,1,1,0.6901740598777825,0.7282282282282283,0.7282282282282282,00:00:24.627,False
citeseer,pagerank,256,10,10,1,1,0.5328154340320927,0.6042780748663101,0.6042780748663101,00:00:24.627,True
citeseer,pagerank,256,10,10,1,1,0.6816537312105296,0.7207207207207207,0.7207207207207207,00:00:26.573,False
citeseer,pagerank,256,10,10,1,1,0.579814053655924,0.6310160427807486,0.6310160427807486,00:00:26.573,True
citeseer,pagerank,256,10,10,1,1,0.6767049625095685,0.7147147147147147,0.7147147147147147,00:00:26.575,False
citeseer,pagerank,256,10,10,1,1,0.5338386581030345,0.6203208556149733,0.6203208556149733,00:00:26.575,True
citeseer,pagerank,256,10,10,1,1,0.6735612756697836,0.7177177177177178,0.7177177177177178,00:00:24.791,False
citeseer,pagerank,256,10,10,1,1,0.5377728305823065,0.5989304812834224,0.5989304812834224,00:00:24.791,True
citeseer,pagerank,256,10,10,1,1,0.7044443114002306,0.7372372372372372,0.7372372372372372,00:00:24.776,False
citeseer,pagerank,256,10,10,1,1,0.5662235346802715,0.6363636363636364,0.6363636363636364,00:00:24.776,True
citeseer,pagerank,256,10,10,1,1,0.6959326749691587,0.7357357357357357,0.7357357357357357,00:00:26.047,False
citeseer,pagerank,256,10,10,1,1,0.5250168591344624,0.5935828877005348,0.5935828877005348,00:00:26.047,True
citeseer,pagerank,256,10,10,1,1,0.6927749610495554,0.7297297297297297,0.7297297297297297,00:00:24.766,False
citeseer,pagerank,256,10,10,1,1,0.5206031182305749,0.5989304812834224,0.5989304812834224,00:00:24.766,True
citeseer,pagerank,256,10,10,1,1,0.6807657915716557,0.7222222222222222,0.7222222222222222,00:00:24.712,False
citeseer,pagerank,256,10,10,1,1,0.5811970627957105,0.6470588235294118,0.6470588235294118,00:00:24.712,True
citeseer,pagerank,256,10,10,1,1,0.6888115959362064,0.7282282282282283,0.7282282282282282,00:00:26.084,False
citeseer,pagerank,256,10,10,1,1,0.5673263850460442,0.6417112299465241,0.6417112299465241,00:00:26.084,True
citeseer,pagerank,256,10,10,1,1,0.6890462564335249,0.7312312312312313,0.7312312312312312,00:00:25.226,False
citeseer,pagerank,256,10,10,1,1,0.5370107515258465,0.6042780748663101,0.6042780748663101,00:00:25.226,True
citeseer,pagerank,256,10,10,1,1,0.6871339055864253,0.7312312312312313,0.7312312312312312,00:00:24.526,False
citeseer,pagerank,256,10,10,1,1,0.5202393483359485,0.6096256684491979,0.6096256684491979,00:00:24.526,True
