dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,deepwalk,256,10,10,1,1,0.8124857006191887,0.8293357933579336,0.8293357933579336,00:00:05.133,False
cora,deepwalk,256,10,10,1,1,0.7051025355808449,0.7368421052631579,0.7368421052631579,00:00:05.133,True
cora,deepwalk,256,10,10,1,1,0.8171301513903199,0.8330258302583026,0.8330258302583026,00:00:05.005,False
cora,deepwalk,256,10,10,1,1,0.7022303340628849,0.7598684210526314,0.7598684210526315,00:00:05.005,True
cora,deepwalk,256,10,10,1,1,0.8078588445393231,0.8265682656826568,0.8265682656826568,00:00:05.004,False
cora,deepwalk,256,10,10,1,1,0.6846254871654481,0.7203947368421053,0.7203947368421053,00:00:05.004,True
cora,deepwalk,256,10,10,1,1,0.812145339689754,0.8321033210332104,0.8321033210332104,00:00:04.904,False
cora,deepwalk,256,10,10,1,1,0.6600336402246112,0.7105263157894737,0.7105263157894737,00:00:04.904,True
cora,deepwalk,256,10,10,1,1,0.8049658931524145,0.8219557195571956,0.8219557195571956,00:00:04.925,False
cora,deepwalk,256,10,10,1,1,0.6944953079936952,0.7335526315789475,0.7335526315789473,00:00:04.925,True
cora,deepwalk,256,10,10,1,1,0.8064554827888663,0.8256457564575646,0.8256457564575646,00:00:04.835,False
cora,deepwalk,256,10,10,1,1,0.6920238566464982,0.7269736842105263,0.7269736842105263,00:00:04.835,True
cora,deepwalk,256,10,10,1,1,0.8223615531972089,0.834870848708487,0.834870848708487,00:00:04.656,False
cora,deepwalk,256,10,10,1,1,0.7028753257471347,0.7401315789473684,0.7401315789473685,00:00:04.656,True
cora,deepwalk,256,10,10,1,1,0.822846647841344,0.8376383763837638,0.8376383763837638,00:00:04.560,False
cora,deepwalk,256,10,10,1,1,0.6768469229964739,0.7171052631578947,0.7171052631578947,00:00:04.560,True
cora,deepwalk,256,10,10,1,1,0.8039813063925317,0.8247232472324724,0.8247232472324724,00:00:04.497,False
cora,deepwalk,256,10,10,1,1,0.6692434952314991,0.7171052631578947,0.7171052631578947,00:00:04.497,True
