dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,deepwalk,256,10,10,1,1,0.8151555262821744,0.8321033210332104,0.8321033210332104,00:00:04.408,False
cora,deepwalk,256,10,10,1,1,0.6990822952557647,0.75,0.75,00:00:04.408,True
cora,deepwalk,256,10,10,1,1,0.832565300019744,0.8468634686346863,0.8468634686346863,00:00:04.804,False
cora,deepwalk,256,10,10,1,1,0.7082017154687962,0.7434210526315789,0.743421052631579,00:00:04.804,True
cora,deepwalk,256,10,10,1,1,0.8284563179392499,0.8431734317343174,0.8431734317343174,00:00:05.050,False
cora,deepwalk,256,10,10,1,1,0.7422121441130136,0.7697368421052632,0.7697368421052632,00:00:05.050,True
cora,deepwalk,256,10,10,1,1,0.8434349110565703,0.8579335793357934,0.8579335793357934,00:00:04.873,False
cora,deepwalk,256,10,10,1,1,0.7200360706184818,0.75,0.75,00:00:04.873,True
cora,deepwalk,256,10,10,1,1,0.8174015787202741,0.8394833948339483,0.8394833948339483,00:00:05.102,False
cora,deepwalk,256,10,10,1,1,0.677648570250611,0.7302631578947368,0.7302631578947368,00:00:05.102,True
cora,deepwalk,256,10,10,1,1,0.83116521096426,0.8487084870848709,0.8487084870848709,00:00:05.058,False
cora,deepwalk,256,10,10,1,1,0.6876559134292014,0.7105263157894737,0.7105263157894737,00:00:05.058,True
cora,deepwalk,256,10,10,1,1,0.8205136195503563,0.8431734317343174,0.8431734317343174,00:00:04.877,False
cora,deepwalk,256,10,10,1,1,0.7085114606771141,0.7434210526315789,0.743421052631579,00:00:04.877,True
cora,deepwalk,256,10,10,1,1,0.8200137098414375,0.8376383763837638,0.8376383763837638,00:00:04.862,False
cora,deepwalk,256,10,10,1,1,0.6918457167586325,0.7039473684210527,0.7039473684210527,00:00:04.862,True
cora,deepwalk,256,10,10,1,1,0.8116067156119783,0.8302583025830258,0.8302583025830258,00:00:05.096,False
cora,deepwalk,256,10,10,1,1,0.7234994085550739,0.75,0.75,00:00:05.096,True
cora,deepwalk,256,10,10,1,1,0.8252124311906205,0.8394833948339483,0.8394833948339483,00:00:04.757,False
cora,deepwalk,256,10,10,1,1,0.7607547190179653,0.7763157894736842,0.7763157894736842,00:00:04.757,True
cora,deepwalk,256,10,10,1,1,0.8110482350793797,0.8302583025830258,0.8302583025830258,00:00:04.683,False
cora,deepwalk,256,10,10,1,1,0.7158544483772448,0.7368421052631579,0.7368421052631579,00:00:04.683,True
cora,deepwalk,256,10,10,1,1,0.8232909656157711,0.8394833948339483,0.8394833948339483,00:00:04.750,False
cora,deepwalk,256,10,10,1,1,0.7347424313731592,0.75,0.75,00:00:04.750,True
