dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
cora,node2vec,256,10,10,0.25,0.25,0.8123034972914098,0.8339483394833949,0.8339483394833949,00:00:04.078
cora,node2vec,256,10,10,0.25,0.25,0.821319561747985,0.8413284132841329,0.8413284132841329,00:00:04.276
cora,node2vec,256,10,10,0.25,0.25,0.8255116897886827,0.8376383763837638,0.8376383763837638,00:00:04.070
cora,node2vec,256,10,10,0.25,0.25,0.8307816395801646,0.8450184501845017,0.8450184501845018,00:00:03.982
cora,node2vec,256,10,10,0.25,0.25,0.824147189897292,0.8376383763837638,0.8376383763837638,00:00:04.124
cora,node2vec,256,10,10,0.25,0.25,0.82835090754115,0.8505535055350554,0.8505535055350554,00:00:04.112
cora,node2vec,256,10,10,0.25,0.25,0.8195568856934862,0.8413284132841329,0.8413284132841329,00:00:04.166
cora,node2vec,256,10,10,0.25,0.25,0.811280813155171,0.8357933579335792,0.8357933579335793,00:00:04.015
cora,node2vec,256,10,10,0.25,0.25,0.8123189639805556,0.8339483394833949,0.8339483394833949,00:00:04.119
cora,node2vec,256,10,10,0.25,0.25,0.8205606780613336,0.8376383763837638,0.8376383763837638,00:00:04.027
cora,node2vec,256,10,10,0.25,0.25,0.8184578132502167,0.8339483394833949,0.8339483394833949,00:00:04.073
cora,node2vec,256,10,10,0.25,0.25,0.8182401785998321,0.8376383763837638,0.8376383763837638,00:00:04.153
cora,node2vec,256,10,10,0.25,0.25,0.8310686475374369,0.8487084870848709,0.8487084870848709,00:00:04.035
cora,node2vec,256,10,10,0.25,0.25,0.802473822320044,0.8265682656826568,0.8265682656826568,00:00:04.094
cora,node2vec,256,10,10,0.25,0.25,0.8171056356269695,0.8321033210332104,0.8321033210332104,00:00:04.018
cora,node2vec,256,10,10,0.25,0.25,0.8087231188382855,0.8265682656826568,0.8265682656826568,00:00:04.133
cora,node2vec,256,10,10,0.25,0.25,0.810257518179618,0.8339483394833949,0.8339483394833949,00:00:04.041
cora,node2vec,256,10,10,0.25,0.25,0.8285740253183559,0.8487084870848709,0.8487084870848709,00:00:04.130
