dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
cora,node2vec,256,10,10,0.25,0.25,0.8186518653763262,0.8376383763837638,0.8376383763837638,00:00:06.056
cora,node2vec,256,10,10,0.25,0.25,0.8263771742492901,0.8431734317343174,0.8431734317343174,00:00:07.329
cora,node2vec,256,10,10,0.25,0.25,0.8046082092778342,0.8339483394833949,0.8339483394833949,00:00:07.418
cora,node2vec,256,10,10,0.25,0.25,0.820675065168491,0.8394833948339483,0.8394833948339483,00:00:06.811
cora,node2vec,256,10,10,0.25,0.25,0.8074628692164303,0.8284132841328413,0.8284132841328413,00:00:06.815
cora,node2vec,256,10,10,0.25,0.25,0.8005049610606737,0.8191881918819188,0.8191881918819188,00:00:06.658
cora,node2vec,256,10,10,0.25,0.25,0.8120788313148168,0.8413284132841329,0.8413284132841329,00:00:06.982
cora,node2vec,256,10,10,0.25,0.25,0.8291680247944504,0.8450184501845017,0.8450184501845018,00:00:06.264
cora,node2vec,256,10,10,0.25,0.25,0.8083979509552676,0.8284132841328413,0.8284132841328413,00:00:07.265
cora,node2vec,256,10,10,0.25,0.25,0.8293504321635911,0.8487084870848709,0.8487084870848709,00:00:06.568
cora,node2vec,256,10,10,0.25,0.25,0.8231666758522864,0.8394833948339483,0.8394833948339483,00:00:07.237
cora,node2vec,256,10,10,0.25,0.25,0.8299237493920264,0.8505535055350554,0.8505535055350554,00:00:07.726
cora,node2vec,256,10,10,0.25,0.25,0.8311418708704353,0.8487084870848709,0.8487084870848709,00:00:07.318
cora,node2vec,256,10,10,0.25,0.25,0.8292341529435728,0.8450184501845017,0.8450184501845018,00:00:07.444
cora,node2vec,256,10,10,0.25,0.25,0.8350828989591006,0.8487084870848709,0.8487084870848709,00:00:07.135
cora,node2vec,256,10,10,0.25,0.25,0.8205026857567941,0.8431734317343174,0.8431734317343174,00:00:07.193
cora,node2vec,256,10,10,0.25,0.25,0.8309741271175373,0.8542435424354243,0.8542435424354243,00:00:07.255
cora,node2vec,256,10,10,0.25,0.25,0.8268109787832959,0.8394833948339483,0.8394833948339483,00:00:07.108
cora,node2vec,256,10,10,0.25,0.25,0.8313826482609442,0.8523985239852399,0.8523985239852399,00:00:06.650
cora,node2vec,256,10,10,0.25,0.25,0.8263183295985908,0.8450184501845017,0.8450184501845018,00:00:06.414
cora,node2vec,256,10,10,0.25,0.25,0.8269840727464162,0.8468634686346863,0.8468634686346863,00:00:07.332
cora,node2vec,256,10,10,0.25,0.25,0.8172400735098522,0.8357933579335792,0.8357933579335793,00:00:07.071
cora,node2vec,256,10,10,0.25,0.25,0.8241970587112891,0.8487084870848709,0.8487084870848709,00:00:06.803
cora,node2vec,256,10,10,0.25,0.25,0.8357771708842147,0.8450184501845017,0.8450184501845018,00:00:06.878
cora,node2vec,256,10,10,0.25,0.25,0.8270671138248984,0.8413284132841329,0.8413284132841329,00:00:06.971
cora,node2vec,256,10,10,0.25,0.25,0.8304205131850761,0.8413284132841329,0.8413284132841329,00:00:06.760
cora,node2vec,256,10,10,0.25,0.25,0.8239502228076905,0.8394833948339483,0.8394833948339483,00:00:06.584
cora,node2vec,256,10,10,0.25,0.25,0.8120082411214001,0.8284132841328413,0.8284132841328413,00:00:05.977
cora,node2vec,256,10,10,0.25,0.25,0.8240317716252193,0.8487084870848709,0.8487084870848709,00:00:07.293
cora,node2vec,256,10,10,0.25,0.25,0.8020405024444842,0.8302583025830258,0.8302583025830258,00:00:06.616
cora,node2vec,256,10,10,0.25,0.25,0.8220259594803726,0.8394833948339483,0.8394833948339483,00:00:06.896
cora,node2vec,256,10,10,0.25,0.25,0.833862410056436,0.8468634686346863,0.8468634686346863,00:00:07.146
cora,node2vec,256,10,10,0.25,0.25,0.8166931220724499,0.8357933579335792,0.8357933579335793,00:00:07.275
cora,node2vec,256,10,10,0.25,0.25,0.8092155477332482,0.8339483394833949,0.8339483394833949,00:00:06.880
cora,node2vec,256,10,10,0.25,0.25,0.821163183262141,0.8468634686346863,0.8468634686346863,00:00:06.772
cora,node2vec,256,10,10,0.25,0.25,0.828305911306562,0.8468634686346863,0.8468634686346863,00:00:06.684
cora,node2vec,256,10,10,0.25,0.25,0.8022712715110332,0.8228782287822878,0.8228782287822878,00:00:07.687
cora,node2vec,256,10,10,0.25,0.25,0.8219864361177248,0.8413284132841329,0.8413284132841329,00:00:07.811
cora,node2vec,256,10,10,0.25,0.25,0.8271082481328645,0.8376383763837638,0.8376383763837638,00:00:07.361
cora,node2vec,256,10,10,0.25,0.25,0.8266392680085433,0.8431734317343174,0.8431734317343174,00:00:07.755
cora,node2vec,256,10,10,0.25,0.25,0.8201656982018358,0.8357933579335792,0.8357933579335793,00:00:07.320
cora,node2vec,256,10,10,0.25,0.25,0.8197418186736426,0.8357933579335792,0.8357933579335793,00:00:07.491
cora,node2vec,256,10,10,0.25,0.25,0.8122983320570787,0.8302583025830258,0.8302583025830258,00:00:06.710
cora,node2vec,256,10,10,0.25,0.25,0.810950510736613,0.8302583025830258,0.8302583025830258,00:00:06.477
cora,node2vec,256,10,10,0.25,0.25,0.8311769774492108,0.8450184501845017,0.8450184501845018,00:00:06.107
cora,node2vec,256,10,10,0.25,0.25,0.8330041015934867,0.8523985239852399,0.8523985239852399,00:00:06.330
cora,node2vec,256,10,10,0.25,0.25,0.8298052085379511,0.8505535055350554,0.8505535055350554,00:00:06.103
cora,node2vec,256,10,10,0.25,0.25,0.8235459670444293,0.8413284132841329,0.8413284132841329,00:00:07.193
cora,node2vec,256,10,10,0.25,0.25,0.8144695182351596,0.8321033210332104,0.8321033210332104,00:00:07.045
cora,node2vec,256,10,10,0.25,0.25,0.810059643638043,0.8321033210332104,0.8321033210332104,00:00:06.847
cora,node2vec,256,10,10,0.25,0.25,0.8331052280231713,0.8487084870848709,0.8487084870848709,00:00:07.023
cora,node2vec,256,10,10,0.25,0.25,0.8163829765405569,0.8413284132841329,0.8413284132841329,00:00:06.875
cora,node2vec,256,10,10,0.25,0.25,0.8236660074098497,0.8431734317343174,0.8431734317343174,00:00:07.081
cora,node2vec,256,10,10,0.25,0.25,0.8177599311818143,0.8376383763837638,0.8376383763837638,00:00:06.691
cora,node2vec,256,10,10,0.25,0.25,0.8240896751972278,0.8376383763837638,0.8376383763837638,00:00:06.235
cora,node2vec,256,10,10,0.25,0.25,0.8173031315256868,0.8357933579335792,0.8357933579335793,00:00:06.600
cora,node2vec,256,10,10,0.25,0.25,0.8078000481405884,0.8302583025830258,0.8302583025830258,00:00:07.418
cora,node2vec,256,10,10,0.25,0.25,0.8078317967884105,0.8321033210332104,0.8321033210332104,00:00:07.166
cora,node2vec,256,10,10,0.25,0.25,0.8238045508836364,0.8431734317343174,0.8431734317343174,00:00:07.606
cora,node2vec,256,10,10,0.25,0.25,0.8078276855852125,0.8302583025830258,0.8302583025830258,00:00:06.996
cora,node2vec,256,10,10,0.25,0.25,0.8189957228557151,0.8431734317343174,0.8431734317343174,00:00:07.405
cora,node2vec,256,10,10,0.25,0.25,0.8126019092206047,0.8321033210332104,0.8321033210332104,00:00:06.889
cora,node2vec,256,10,10,0.25,0.25,0.8173475933190885,0.8376383763837638,0.8376383763837638,00:00:07.245
cora,node2vec,256,10,10,0.25,0.25,0.8379198880518581,0.8523985239852399,0.8523985239852399,00:00:08.052
cora,node2vec,256,10,10,0.25,0.25,0.8192435091112049,0.8413284132841329,0.8413284132841329,00:00:07.621
cora,node2vec,256,10,10,0.25,0.25,0.8262006289775383,0.8413284132841329,0.8413284132841329,00:00:07.861
cora,node2vec,256,10,10,0.25,0.25,0.8302859579218601,0.8505535055350554,0.8505535055350554,00:00:07.368
cora,node2vec,256,10,10,0.25,0.25,0.8067595695454413,0.8321033210332104,0.8321033210332104,00:00:07.787
cora,node2vec,256,10,10,0.25,0.25,0.8212193408048493,0.8321033210332104,0.8321033210332104,00:00:07.170
cora,node2vec,256,10,10,0.25,0.25,0.8329775630314603,0.8505535055350554,0.8505535055350554,00:00:06.490
cora,node2vec,256,10,10,0.25,0.25,0.8112401776969494,0.8302583025830258,0.8302583025830258,00:00:05.958
cora,node2vec,256,10,10,0.25,0.25,0.8172442018999563,0.8357933579335792,0.8357933579335793,00:00:06.324
cora,node2vec,256,10,10,0.25,0.25,0.8329706949055293,0.8523985239852399,0.8523985239852399,00:00:06.088
cora,node2vec,256,10,10,0.25,0.25,0.8091453259429249,0.8265682656826568,0.8265682656826568,00:00:06.193
cora,node2vec,256,10,10,0.25,0.25,0.8173130299845359,0.8394833948339483,0.8394833948339483,00:00:06.294
cora,node2vec,256,10,10,0.25,0.25,0.8205303754578582,0.8431734317343174,0.8431734317343174,00:00:06.830
cora,node2vec,256,10,10,0.25,0.25,0.8290829956610856,0.8523985239852399,0.8523985239852399,00:00:07.137
cora,node2vec,256,10,10,0.25,0.25,0.8112485759298911,0.8284132841328413,0.8284132841328413,00:00:06.738
cora,node2vec,256,10,10,0.25,0.25,0.8186291198587724,0.8413284132841329,0.8413284132841329,00:00:07.201
cora,node2vec,256,10,10,0.25,0.25,0.8001748348058726,0.8265682656826568,0.8265682656826568,00:00:06.808
cora,node2vec,256,10,10,0.25,0.25,0.7974545794690566,0.8173431734317345,0.8173431734317343,00:00:06.973
cora,node2vec,256,10,10,0.25,0.25,0.8076959151845721,0.8247232472324724,0.8247232472324724,00:00:06.062
cora,node2vec,256,10,10,0.25,0.25,0.8276117566788456,0.8413284132841329,0.8413284132841329,00:00:06.167
cora,node2vec,256,10,10,0.25,0.25,0.8277468151078723,0.8450184501845017,0.8450184501845018,00:00:06.656
cora,node2vec,256,10,10,0.25,0.25,0.8216707137051882,0.8394833948339483,0.8394833948339483,00:00:07.086
cora,node2vec,256,10,10,0.25,0.25,0.8021357141357189,0.8265682656826568,0.8265682656826568,00:00:06.733
