dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,node2vec,256,10,10,0.25,4,0.7592581173470546,0.7655745269958469,0.7655745269958468,00:00:04.058,False
cora,node2vec,256,10,10,0.25,4,0.5733130728898752,0.5986842105263158,0.5986842105263158,00:00:04.058,True
cora,node2vec,256,10,10,0.25,4,0.7556997378405116,0.7641901245962159,0.7641901245962159,00:00:04.619,False
cora,node2vec,256,10,10,0.25,4,0.5837066356468306,0.6217105263157895,0.6217105263157895,00:00:04.619,True
cora,node2vec,256,10,10,0.25,4,0.7542416789068384,0.7600369173973235,0.7600369173973235,00:00:04.561,False
cora,node2vec,256,10,10,0.25,4,0.5773206179198141,0.6134868421052632,0.6134868421052632,00:00:04.561,True
cora,node2vec,256,10,10,0.25,4,0.7441228809262473,0.755883710198431,0.755883710198431,00:00:04.516,False
cora,node2vec,256,10,10,0.25,4,0.5900589290884085,0.6069078947368421,0.6069078947368421,00:00:04.516,True
cora,node2vec,256,10,10,0.25,4,0.7403821077777336,0.7425011536686663,0.7425011536686663,00:00:04.581,False
cora,node2vec,256,10,10,0.25,4,0.5485052715605578,0.5986842105263158,0.5986842105263158,00:00:04.581,True
cora,node2vec,256,10,10,0.25,4,0.7464157260732254,0.7577295800646054,0.7577295800646054,00:00:04.466,False
cora,node2vec,256,10,10,0.25,4,0.5944161170334689,0.6233552631578947,0.6233552631578947,00:00:04.466,True
cora,node2vec,256,10,10,0.25,4,0.7604680819650199,0.7715736040609137,0.7715736040609137,00:00:04.696,False
cora,node2vec,256,10,10,0.25,4,0.5659962596780962,0.6036184210526315,0.6036184210526315,00:00:04.696,True
cora,node2vec,256,10,10,0.25,4,0.7552549235071451,0.766497461928934,0.766497461928934,00:00:04.445,False
cora,node2vec,256,10,10,0.25,4,0.5807413575877111,0.6200657894736842,0.6200657894736842,00:00:04.445,True
cora,node2vec,256,10,10,0.25,4,0.7583672507588736,0.768804799261652,0.768804799261652,00:00:04.339,False
cora,node2vec,256,10,10,0.25,4,0.5715288789807593,0.6101973684210527,0.6101973684210527,00:00:04.339,True
cora,node2vec,256,10,10,0.25,4,0.7628143389245409,0.7738809413936317,0.7738809413936317,00:00:04.149,False
cora,node2vec,256,10,10,0.25,4,0.5964785955120837,0.631578947368421,0.631578947368421,00:00:04.149,True
cora,node2vec,256,10,10,0.25,4,0.7542853506714106,0.7623442547300415,0.7623442547300415,00:00:04.144,False
cora,node2vec,256,10,10,0.25,4,0.5593746983468987,0.6151315789473685,0.6151315789473685,00:00:04.144,True
cora,node2vec,256,10,10,0.25,4,0.7525908497121884,0.75957544993078,0.7595754499307799,00:00:04.279,False
cora,node2vec,256,10,10,0.25,4,0.5411793274972275,0.59375,0.59375,00:00:04.279,True
cora,node2vec,256,10,10,0.25,4,0.7593385421028288,0.7641901245962159,0.7641901245962159,00:00:04.545,False
cora,node2vec,256,10,10,0.25,4,0.5661664461305337,0.6151315789473685,0.6151315789473685,00:00:04.545,True
cora,node2vec,256,10,10,0.25,4,0.7483716830250904,0.7577295800646054,0.7577295800646054,00:00:04.595,False
cora,node2vec,256,10,10,0.25,4,0.5848571903525345,0.6414473684210527,0.6414473684210527,00:00:04.595,True
cora,node2vec,256,10,10,0.25,4,0.7491663584206679,0.7572681125980619,0.7572681125980618,00:00:04.489,False
cora,node2vec,256,10,10,0.25,4,0.5907128676642096,0.6233552631578947,0.6233552631578947,00:00:04.489,True
cora,node2vec,256,10,10,0.25,4,0.7434248942689938,0.7471158283341025,0.7471158283341024,00:00:04.629,False
