dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,node2vec,256,10,10,0.25,4,0.8423209716510914,0.8505535055350554,0.8505535055350554,00:00:05.744,False
cora,node2vec,256,10,10,0.25,4,0.6569585176728033,0.7105263157894737,0.7105263157894737,00:00:05.744,True
cora,node2vec,256,10,10,0.25,4,0.8361734111140372,0.8468634686346863,0.8468634686346863,00:00:05.822,False
cora,node2vec,256,10,10,0.25,4,0.7010540916315993,0.7236842105263158,0.7236842105263158,00:00:05.822,True
cora,node2vec,256,10,10,0.25,4,0.8330969777408112,0.8450184501845017,0.8450184501845018,00:00:05.597,False
cora,node2vec,256,10,10,0.25,4,0.7291771653716432,0.75,0.75,00:00:05.597,True
cora,node2vec,256,10,10,0.25,4,0.8208941531746353,0.8339483394833949,0.8339483394833949,00:00:05.530,False
cora,node2vec,256,10,10,0.25,4,0.714738043134173,0.7302631578947368,0.7302631578947368,00:00:05.530,True
cora,node2vec,256,10,10,0.25,4,0.8396680306024612,0.8487084870848709,0.8487084870848709,00:00:05.667,False
cora,node2vec,256,10,10,0.25,4,0.6797765726337156,0.7039473684210527,0.7039473684210527,00:00:05.667,True
cora,node2vec,256,10,10,0.25,4,0.8474002643196191,0.8579335793357934,0.8579335793357934,00:00:05.526,False
cora,node2vec,256,10,10,0.25,4,0.6986112658873765,0.7302631578947368,0.7302631578947368,00:00:05.526,True
cora,node2vec,256,10,10,0.25,4,0.8251968361710448,0.8357933579335792,0.8357933579335793,00:00:05.693,False
cora,node2vec,256,10,10,0.25,4,0.7040795583391931,0.7302631578947368,0.7302631578947368,00:00:05.693,True
cora,node2vec,256,10,10,0.25,4,0.8431493409562679,0.8450184501845017,0.8450184501845018,00:00:05.566,False
cora,node2vec,256,10,10,0.25,4,0.7038107523544416,0.7236842105263158,0.7236842105263158,00:00:05.566,True
cora,node2vec,256,10,10,0.25,4,0.8350805372053226,0.8450184501845017,0.8450184501845018,00:00:05.768,False
cora,node2vec,256,10,10,0.25,4,0.6585264408793822,0.6907894736842105,0.6907894736842105,00:00:05.768,True
cora,node2vec,256,10,10,0.25,4,0.8431070360657847,0.8542435424354243,0.8542435424354243,00:00:05.544,False
cora,node2vec,256,10,10,0.25,4,0.6789279942242045,0.6907894736842105,0.6907894736842105,00:00:05.544,True
cora,node2vec,256,10,10,0.25,4,0.8357349138547426,0.8450184501845017,0.8450184501845018,00:00:05.433,False
cora,node2vec,256,10,10,0.25,4,0.7050260815788765,0.7368421052631579,0.7368421052631579,00:00:05.433,True
cora,node2vec,256,10,10,0.25,4,0.8370712708640219,0.8487084870848709,0.8487084870848709,00:00:05.613,False
cora,node2vec,256,10,10,0.25,4,0.662753343361547,0.6907894736842105,0.6907894736842105,00:00:05.613,True
cora,node2vec,256,10,10,0.25,4,0.8527401089058328,0.8653136531365314,0.8653136531365314,00:00:05.469,False
cora,node2vec,256,10,10,0.25,4,0.6783008658008658,0.7171052631578947,0.7171052631578947,00:00:05.469,True
cora,node2vec,256,10,10,0.25,4,0.8200257735291238,0.8357933579335792,0.8357933579335793,00:00:06.070,False
cora,node2vec,256,10,10,0.25,4,0.6469613186569164,0.6776315789473685,0.6776315789473685,00:00:06.070,True
cora,node2vec,256,10,10,0.25,4,0.8426408094131086,0.8597785977859779,0.8597785977859779,00:00:05.356,False
cora,node2vec,256,10,10,0.25,4,0.7002910525912494,0.7302631578947368,0.7302631578947368,00:00:05.356,True
cora,node2vec,256,10,10,0.25,4,0.8354461208207138,0.8468634686346863,0.8468634686346863,00:00:06.313,False
cora,node2vec,256,10,10,0.25,4,0.6688930289502432,0.6973684210526315,0.6973684210526315,00:00:06.313,True
cora,node2vec,256,10,10,0.25,4,0.8476149457682887,0.8597785977859779,0.8597785977859779,00:00:05.803,False
cora,node2vec,256,10,10,0.25,4,0.7229728102812594,0.7236842105263158,0.7236842105263158,00:00:05.803,True
cora,node2vec,256,10,10,0.25,4,0.8462147355319924,0.8597785977859779,0.8597785977859779,00:00:05.906,False
