dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
cora,pagerank,256,10,10,0.25,0.25,0.8263910844727256,0.8450184501845017,0.8450184501845018,00:00:17.925
cora,pagerank,256,10,10,0.25,0.25,0.8459068235707621,0.8560885608856088,0.8560885608856088,00:00:17.980
cora,pagerank,256,10,10,0.25,0.25,0.8560396902879841,0.8653136531365314,0.8653136531365314,00:00:17.975
cora,pagerank,256,10,10,0.25,0.25,0.8309644050202148,0.8431734317343174,0.8431734317343174,00:00:18.011
cora,pagerank,256,10,10,0.25,0.25,0.8345664127587306,0.8487084870848709,0.8487084870848709,00:00:17.973
cora,pagerank,256,10,10,0.25,0.25,0.8494561076689882,0.8634686346863468,0.8634686346863468,00:00:17.931
cora,pagerank,256,10,10,0.25,0.25,0.8325266275145216,0.8431734317343174,0.8431734317343174,00:00:17.957
cora,pagerank,256,10,10,0.25,0.25,0.8290292527502762,0.8376383763837638,0.8376383763837638,00:00:18.116
cora,pagerank,256,10,10,0.25,0.25,0.8384916134144603,0.8542435424354243,0.8542435424354243,00:00:17.942
cora,pagerank,256,10,10,0.25,0.25,0.8325047779303851,0.8523985239852399,0.8523985239852399,00:00:18.019
cora,pagerank,256,10,10,0.25,0.25,0.8427880220883781,0.8579335793357934,0.8579335793357934,00:00:17.921
cora,pagerank,256,10,10,0.25,0.25,0.8278407504585855,0.8468634686346863,0.8468634686346863,00:00:17.985
cora,pagerank,256,10,10,0.25,0.25,0.8285494487700832,0.8450184501845017,0.8450184501845018,00:00:17.844
cora,pagerank,256,10,10,0.25,0.25,0.8319703850949913,0.8468634686346863,0.8468634686346863,00:00:17.741
cora,pagerank,256,10,10,0.25,0.25,0.8435209631070285,0.8542435424354243,0.8542435424354243,00:00:18.031
cora,pagerank,256,10,10,0.25,0.25,0.8372315766343651,0.8468634686346863,0.8468634686346863,00:00:17.782
cora,pagerank,256,10,10,0.25,0.25,0.8419561994884551,0.8505535055350554,0.8505535055350554,00:00:17.791
cora,pagerank,256,10,10,0.25,0.25,0.8433205123295628,0.8542435424354243,0.8542435424354243,00:00:17.695
cora,pagerank,256,10,10,0.25,0.25,0.838198066550775,0.8560885608856088,0.8560885608856088,00:00:17.821
cora,pagerank,256,10,10,0.25,0.25,0.8399754407767148,0.8542435424354243,0.8542435424354243,00:00:17.804
cora,pagerank,256,10,10,0.25,0.25,0.8289039769216568,0.8413284132841329,0.8413284132841329,00:00:17.686
