dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,pagerank,256,10,10,1,1,0.7445276160731868,0.75957544993078,0.7595754499307799,00:00:19.385,False
cora,pagerank,256,10,10,1,1,0.5708851974934034,0.6332236842105263,0.6332236842105263,00:00:19.385,True
cora,pagerank,256,10,10,1,1,0.7541874467713955,0.7609598523304107,0.7609598523304107,00:00:20.681,False
cora,pagerank,256,10,10,1,1,0.577036420209493,0.6332236842105263,0.6332236842105263,00:00:20.681,True
cora,pagerank,256,10,10,1,1,0.7379432487677364,0.7489616982002769,0.7489616982002769,00:00:19.683,False
cora,pagerank,256,10,10,1,1,0.569885511539329,0.6430921052631579,0.6430921052631579,00:00:19.683,True
cora,pagerank,256,10,10,1,1,0.7417798224391358,0.7508075680664514,0.7508075680664513,00:00:22.096,False
cora,pagerank,256,10,10,1,1,0.5768849888378328,0.6381578947368421,0.6381578947368421,00:00:22.096,True
cora,pagerank,256,10,10,1,1,0.7438501422948934,0.753576372865713,0.753576372865713,00:00:20.813,False
cora,pagerank,256,10,10,1,1,0.5892699967467048,0.6365131578947368,0.6365131578947368,00:00:20.813,True
cora,pagerank,256,10,10,1,1,0.7480821846957693,0.7586525149976927,0.7586525149976927,00:00:20.663,False
cora,pagerank,256,10,10,1,1,0.573607952663295,0.6398026315789473,0.6398026315789473,00:00:20.663,True
cora,pagerank,256,10,10,1,1,0.7486449028146567,0.7577295800646054,0.7577295800646054,00:00:20.606,False
cora,pagerank,256,10,10,1,1,0.572270874875801,0.625,0.625,00:00:20.606,True
cora,pagerank,256,10,10,1,1,0.7393205092150436,0.7531149053991694,0.7531149053991694,00:00:19.538,False
cora,pagerank,256,10,10,1,1,0.5616109806235755,0.6348684210526315,0.6348684210526315,00:00:19.538,True
cora,pagerank,256,10,10,1,1,0.7501382420754766,0.7632671896631288,0.7632671896631288,00:00:20.750,False
cora,pagerank,256,10,10,1,1,0.5599004496723263,0.6266447368421053,0.6266447368421053,00:00:20.750,True
cora,pagerank,256,10,10,1,1,0.7476117663948958,0.755883710198431,0.755883710198431,00:00:19.412,False
cora,pagerank,256,10,10,1,1,0.5949411614172121,0.649671052631579,0.649671052631579,00:00:19.412,True
cora,pagerank,256,10,10,1,1,0.7506315850023484,0.7604983848638672,0.7604983848638671,00:00:20.820,False
cora,pagerank,256,10,10,1,1,0.567633052102956,0.6414473684210527,0.6414473684210527,00:00:20.820,True
cora,pagerank,256,10,10,1,1,0.7403331492073966,0.753576372865713,0.753576372865713,00:00:20.106,False
cora,pagerank,256,10,10,1,1,0.5627865478936093,0.618421052631579,0.618421052631579,00:00:20.106,True
cora,pagerank,256,10,10,1,1,0.7533634888857046,0.7651130595293032,0.7651130595293032,00:00:20.275,False
cora,pagerank,256,10,10,1,1,0.5949977116996532,0.6546052631578947,0.6546052631578947,00:00:20.275,True
cora,pagerank,256,10,10,1,1,0.7517354421411745,0.7637286571296723,0.7637286571296723,00:00:20.546,False
cora,pagerank,256,10,10,1,1,0.5567298738442783,0.6151315789473685,0.6151315789473685,00:00:20.546,True
cora,pagerank,256,10,10,1,1,0.7460113869124214,0.7526534379326257,0.7526534379326257,00:00:19.918,False
cora,pagerank,256,10,10,1,1,0.5599659843229279,0.6233552631578947,0.6233552631578947,00:00:19.918,True
cora,pagerank,256,10,10,1,1,0.7385742558774963,0.7508075680664514,0.7508075680664513,00:00:20.947,False
cora,pagerank,256,10,10,1,1,0.5582957863257026,0.6151315789473685,0.6151315789473685,00:00:20.947,True
cora,pagerank,256,10,10,1,1,0.7482784988172982,0.7544993077988003,0.7544993077988001,00:00:19.521,False
cora,pagerank,256,10,10,1,1,0.5952076979102026,0.6463815789473685,0.6463815789473685,00:00:19.521,True
cora,pagerank,256,10,10,1,1,0.7462748422254316,0.7614213197969543,0.7614213197969543,00:00:20.909,False
cora,pagerank,256,10,10,1,1,0.5583870557375823,0.631578947368421,0.631578947368421,00:00:20.909,True
cora,pagerank,256,10,10,1,1,0.7494670886042295,0.7614213197969543,0.7614213197969543,00:00:20.074,False
cora,pagerank,256,10,10,1,1,0.6022053718009446,0.6546052631578947,0.6546052631578947,00:00:20.074,True
cora,pagerank,256,10,10,1,1,0.7396031867952902,0.7521919704660821,0.7521919704660821,00:00:20.554,False
cora,pagerank,256,10,10,1,1,0.5816377325449966,0.6381578947368421,0.6381578947368421,00:00:20.554,True
cora,pagerank,256,10,10,1,1,0.7462576344720644,0.7581910475311492,0.7581910475311491,00:00:20.456,False
cora,pagerank,256,10,10,1,1,0.5714219557084571,0.6430921052631579,0.6430921052631579,00:00:20.456,True
cora,pagerank,256,10,10,1,1,0.7485851887615291,0.7637286571296723,0.7637286571296723,00:00:19.899,False
cora,pagerank,256,10,10,1,1,0.5567420393569363,0.6118421052631579,0.6118421052631579,00:00:19.899,True
cora,pagerank,256,10,10,1,1,0.7457913430067512,0.7563451776649746,0.7563451776649747,00:00:20.944,False
cora,pagerank,256,10,10,1,1,0.5668574817708841,0.625,0.625,00:00:20.944,True
cora,pagerank,256,10,10,1,1,0.7502668584845382,0.75957544993078,0.7595754499307799,00:00:19.374,False
cora,pagerank,256,10,10,1,1,0.5719891838552623,0.631578947368421,0.631578947368421,00:00:19.374,True
cora,pagerank,256,10,10,1,1,0.7505587003207115,0.7641901245962159,0.7641901245962159,00:00:20.885,False
cora,pagerank,256,10,10,1,1,0.5819092713888193,0.6430921052631579,0.6430921052631579,00:00:20.885,True
cora,pagerank,256,10,10,1,1,0.7475260260751132,0.7577295800646054,0.7577295800646054,00:00:19.794,False
cora,pagerank,256,10,10,1,1,0.5674351033547756,0.6282894736842105,0.6282894736842105,00:00:19.794,True
cora,pagerank,256,10,10,1,1,0.7393626361076555,0.751269035532995,0.751269035532995,00:00:20.467,False
cora,pagerank,256,10,10,1,1,0.6225978772511139,0.6677631578947368,0.6677631578947368,00:00:20.467,True
cora,pagerank,256,10,10,1,1,0.7561064953097023,0.7660359944623905,0.7660359944623903,00:00:20.369,False
cora,pagerank,256,10,10,1,1,0.5873368391755538,0.6529605263157895,0.6529605263157895,00:00:20.369,True
cora,pagerank,256,10,10,1,1,0.7514300909529377,0.7637286571296723,0.7637286571296723,00:00:19.838,False
cora,pagerank,256,10,10,1,1,0.5647762669003019,0.6134868421052632,0.6134868421052632,00:00:19.838,True
cora,pagerank,256,10,10,1,1,0.762918613589737,0.768804799261652,0.768804799261652,00:00:20.944,False
cora,pagerank,256,10,10,1,1,0.5750280954935189,0.631578947368421,0.631578947368421,00:00:20.944,True
cora,pagerank,256,10,10,1,1,0.7543071699170621,0.7660359944623905,0.7660359944623903,00:00:19.606,False
cora,pagerank,256,10,10,1,1,0.5747975069309426,0.6348684210526315,0.6348684210526315,00:00:19.606,True
cora,pagerank,256,10,10,1,1,0.7510341971347578,0.7600369173973235,0.7600369173973235,00:00:20.792,False
cora,pagerank,256,10,10,1,1,0.5673478366215001,0.6348684210526315,0.6348684210526315,00:00:20.792,True
cora,pagerank,256,10,10,1,1,0.7491473259499396,0.7554222427318874,0.7554222427318874,00:00:19.649,False
cora,pagerank,256,10,10,1,1,0.5616398981860956,0.6233552631578947,0.6233552631578947,00:00:19.649,True
