dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
cora,pagerank,256,10,10,1,1,0.837757433714345,0.8487084870848709,0.8487084870848709,00:00:24.222,False
cora,pagerank,256,10,10,1,1,0.7089454424411672,0.7368421052631579,0.7368421052631579,00:00:24.222,True
cora,pagerank,256,10,10,1,1,0.8241041545052035,0.8394833948339483,0.8394833948339483,00:00:23.752,False
cora,pagerank,256,10,10,1,1,0.6875331712170649,0.7368421052631579,0.7368421052631579,00:00:23.752,True
cora,pagerank,256,10,10,1,1,0.8381103978605184,0.8523985239852399,0.8523985239852399,00:00:24.809,False
cora,pagerank,256,10,10,1,1,0.7041595533846208,0.7434210526315789,0.743421052631579,00:00:24.809,True
cora,pagerank,256,10,10,1,1,0.8562183602621617,0.8653136531365314,0.8653136531365314,00:00:24.531,False
cora,pagerank,256,10,10,1,1,0.662438470996733,0.7171052631578947,0.7171052631578947,00:00:24.531,True
cora,pagerank,256,10,10,1,1,0.8363984087704572,0.8505535055350554,0.8505535055350554,00:00:24.172,False
cora,pagerank,256,10,10,1,1,0.6530676220331394,0.6973684210526315,0.6973684210526315,00:00:24.172,True
cora,pagerank,256,10,10,1,1,0.845044271630539,0.8616236162361623,0.8616236162361623,00:00:24.750,False
cora,pagerank,256,10,10,1,1,0.7175348531177901,0.7565789473684209,0.756578947368421,00:00:24.750,True
cora,pagerank,256,10,10,1,1,0.8373327083689733,0.8505535055350554,0.8505535055350554,00:00:25.417,False
cora,pagerank,256,10,10,1,1,0.7146748378437814,0.75,0.75,00:00:25.417,True
cora,pagerank,256,10,10,1,1,0.8404763755895032,0.8560885608856088,0.8560885608856088,00:00:26.135,False
cora,pagerank,256,10,10,1,1,0.706159399869815,0.75,0.75,00:00:26.135,True
cora,pagerank,256,10,10,1,1,0.8504121070141311,0.8634686346863468,0.8634686346863468,00:00:25.306,False
cora,pagerank,256,10,10,1,1,0.7252095340870104,0.7565789473684209,0.756578947368421,00:00:25.306,True
cora,pagerank,256,10,10,1,1,0.8505189581843069,0.8597785977859779,0.8597785977859779,00:00:24.148,False
cora,pagerank,256,10,10,1,1,0.6713216411257715,0.7105263157894737,0.7105263157894737,00:00:24.148,True
cora,pagerank,256,10,10,1,1,0.8332498311944992,0.8450184501845017,0.8450184501845018,00:00:23.986,False
cora,pagerank,256,10,10,1,1,0.7001033072059355,0.7236842105263158,0.7236842105263158,00:00:23.986,True
cora,pagerank,256,10,10,1,1,0.8453108850720027,0.8542435424354243,0.8542435424354243,00:00:25.363,False
cora,pagerank,256,10,10,1,1,0.6825970862823922,0.7236842105263158,0.7236842105263158,00:00:25.363,True
cora,pagerank,256,10,10,1,1,0.8379117985079054,0.8487084870848709,0.8487084870848709,00:00:24.476,False
cora,pagerank,256,10,10,1,1,0.7254671753084967,0.75,0.75,00:00:24.476,True
cora,pagerank,256,10,10,1,1,0.841760081574628,0.8542435424354243,0.8542435424354243,00:00:23.909,False
cora,pagerank,256,10,10,1,1,0.6828292748210737,0.7236842105263158,0.7236842105263158,00:00:23.909,True
cora,pagerank,256,10,10,1,1,0.827984624998421,0.8450184501845017,0.8450184501845018,00:00:24.009,False
cora,pagerank,256,10,10,1,1,0.7053725386258398,0.7368421052631579,0.7368421052631579,00:00:24.009,True
cora,pagerank,256,10,10,1,1,0.8458899371209225,0.8597785977859779,0.8597785977859779,00:00:24.145,False
cora,pagerank,256,10,10,1,1,0.679717332357084,0.7105263157894737,0.7105263157894737,00:00:24.145,True
cora,pagerank,256,10,10,1,1,0.8527440555273328,0.8597785977859779,0.8597785977859779,00:00:24.769,False
cora,pagerank,256,10,10,1,1,0.7143792401552597,0.7368421052631579,0.7368421052631579,00:00:24.769,True
cora,pagerank,256,10,10,1,1,0.8510231836637218,0.8616236162361623,0.8616236162361623,00:00:24.160,False
cora,pagerank,256,10,10,1,1,0.7007148751334799,0.7434210526315789,0.743421052631579,00:00:24.160,True
cora,pagerank,256,10,10,1,1,0.8242131947076279,0.8376383763837638,0.8376383763837638,00:00:20.483,False
cora,pagerank,256,10,10,1,1,0.7298328704215832,0.75,0.75,00:00:20.483,True
cora,pagerank,256,10,10,1,1,0.8449276819264544,0.8560885608856088,0.8560885608856088,00:00:20.413,False
cora,pagerank,256,10,10,1,1,0.7089516879278114,0.75,0.75,00:00:20.413,True
cora,pagerank,256,10,10,1,1,0.8286740007787318,0.8468634686346863,0.8468634686346863,00:00:23.022,False
cora,pagerank,256,10,10,1,1,0.702314259036948,0.7236842105263158,0.7236842105263158,00:00:23.022,True
cora,pagerank,256,10,10,1,1,0.8529129442130502,0.8690036900369004,0.8690036900369004,00:00:20.882,False
