dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,deepwalk,256,10,10,1,1,0.779546334452993,0.79158215010142,0.7915821501014199,00:01:13.204
pubmed,deepwalk,256,10,10,1,1,0.779134217660847,0.7941176470588235,0.7941176470588235,00:01:14.462
pubmed,deepwalk,256,10,10,1,1,0.7799020061989973,0.7923427991886409,0.7923427991886409,00:01:14.936
pubmed,deepwalk,256,10,10,1,1,0.7699101046228223,0.7839756592292091,0.783975659229209,00:01:14.927
pubmed,deepwalk,256,10,10,1,1,0.7812092483098579,0.7948782961460447,0.7948782961460447,00:01:13.994
pubmed,deepwalk,256,10,10,1,1,0.77703019853901,0.7920892494929005,0.7920892494929006,00:01:14.285
pubmed,deepwalk,256,10,10,1,1,0.7806153527083173,0.7948782961460447,0.7948782961460447,00:01:14.197
pubmed,deepwalk,256,10,10,1,1,0.7784951621635307,0.7913286004056795,0.7913286004056795,00:01:14.146
pubmed,deepwalk,256,10,10,1,1,0.7712749341903775,0.7849898580121704,0.7849898580121704,00:01:13.889
pubmed,deepwalk,256,10,10,1,1,0.7792120440753602,0.7928498985801218,0.7928498985801217,00:01:14.772
pubmed,deepwalk,256,10,10,1,1,0.775311834803175,0.7882860040567952,0.7882860040567952,00:01:13.680
pubmed,deepwalk,256,10,10,1,1,0.7767570071273703,0.7885395537525355,0.7885395537525355,00:01:13.924
pubmed,deepwalk,256,10,10,1,1,0.77356898672046,0.7870182555780934,0.7870182555780934,00:01:13.947
pubmed,deepwalk,256,10,10,1,1,0.7745752358479505,0.7887931034482759,0.7887931034482759,00:01:13.151
pubmed,deepwalk,256,10,10,1,1,0.7833154320960146,0.7994421906693712,0.7994421906693712,00:01:13.549
pubmed,deepwalk,256,10,10,1,1,0.7818286719612937,0.795131845841785,0.795131845841785,00:01:13.065
pubmed,deepwalk,256,10,10,1,1,0.7768420119409903,0.79158215010142,0.7915821501014199,00:01:14.514
pubmed,deepwalk,256,10,10,1,1,0.784417708514654,0.7971602434077079,0.7971602434077079,00:01:12.996
pubmed,deepwalk,256,10,10,1,1,0.7807543737917046,0.7938640973630832,0.7938640973630832,00:01:12.846
pubmed,deepwalk,256,10,10,1,1,0.7765295070271042,0.7913286004056795,0.7913286004056795,00:01:13.836
