dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,deepwalk,256,10,10,1,1,0.7749340119608105,0.7854697603651578,0.7854697603651578,00:01:21.497,False
pubmed,deepwalk,256,10,10,1,1,0.7556700363430595,0.7795382526029878,0.7795382526029878,00:01:21.497,True
pubmed,deepwalk,256,10,10,1,1,0.7692166788251429,0.7805249144161278,0.7805249144161278,00:01:27.035,False
pubmed,deepwalk,256,10,10,1,1,0.7621456527533012,0.7881394296061568,0.7881394296061567,00:01:27.035,True
pubmed,deepwalk,256,10,10,1,1,0.7742694567546936,0.7866108786610879,0.7866108786610879,00:01:25.427,False
pubmed,deepwalk,256,10,10,1,1,0.7531161923247683,0.7854232684472612,0.7854232684472612,00:01:25.427,True
pubmed,deepwalk,256,10,10,1,1,0.7754215591134003,0.786737669582858,0.7867376695828578,00:01:25.825,False
pubmed,deepwalk,256,10,10,1,1,0.7641384501065431,0.7904028972385695,0.7904028972385695,00:01:25.825,True
pubmed,deepwalk,256,10,10,1,1,0.7695781864090164,0.7819196145555978,0.7819196145555978,00:01:27.872,False
pubmed,deepwalk,256,10,10,1,1,0.7596939176349699,0.7854232684472612,0.7854232684472612,00:01:27.872,True
pubmed,deepwalk,256,10,10,1,1,0.7678749656686046,0.7801445416508178,0.7801445416508178,00:01:27.320,False
pubmed,deepwalk,256,10,10,1,1,0.7616594002708473,0.7849705749207786,0.7849705749207786,00:01:27.320,True
pubmed,deepwalk,256,10,10,1,1,0.7757869556656303,0.7872448332699379,0.7872448332699379,00:01:27.183,False
pubmed,deepwalk,256,10,10,1,1,0.7593960547825445,0.7854232684472612,0.7854232684472612,00:01:27.183,True
pubmed,deepwalk,256,10,10,1,1,0.7719588709481529,0.7845822239127678,0.7845822239127679,00:01:24.681,False
pubmed,deepwalk,256,10,10,1,1,0.7666335080347745,0.7913082842915347,0.7913082842915347,00:01:24.681,True
pubmed,deepwalk,256,10,10,1,1,0.7683639780226271,0.7821731963991378,0.7821731963991378,00:01:25.316,False
pubmed,deepwalk,256,10,10,1,1,0.7647101678616334,0.7894975101856043,0.7894975101856043,00:01:25.316,True
