dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,deepwalk,256,10,10,1,1,0.778920924006735,0.7905679513184585,0.7905679513184585,00:01:30.442,False
pubmed,deepwalk,256,10,10,1,1,0.7658018293312411,0.792760180995475,0.7927601809954751,00:01:30.442,True
pubmed,deepwalk,256,10,10,1,1,0.7709603092716996,0.7842292089249493,0.7842292089249493,00:01:45.119,False
pubmed,deepwalk,256,10,10,1,1,0.7623324061427335,0.7900452488687782,0.7900452488687782,00:01:45.119,True
pubmed,deepwalk,256,10,10,1,1,0.778217665241406,0.7933569979716025,0.7933569979716024,00:01:51.866,False
pubmed,deepwalk,256,10,10,1,1,0.7816273108781386,0.8063348416289592,0.8063348416289593,00:01:51.866,True
pubmed,deepwalk,256,10,10,1,1,0.778882834633538,0.7928498985801218,0.7928498985801217,00:01:52.699,False
pubmed,deepwalk,256,10,10,1,1,0.7680337927791842,0.7936651583710407,0.7936651583710407,00:01:52.699,True
pubmed,deepwalk,256,10,10,1,1,0.7784732850989609,0.7910750507099392,0.7910750507099391,00:01:53.807,False
pubmed,deepwalk,256,10,10,1,1,0.778600667405193,0.8018099547511311,0.8018099547511313,00:01:53.807,True
pubmed,deepwalk,256,10,10,1,1,0.7856206112846819,0.7984279918864098,0.7984279918864098,00:01:50.902,False
pubmed,deepwalk,256,10,10,1,1,0.7816122126201431,0.8054298642533937,0.8054298642533937,00:01:50.902,True
pubmed,deepwalk,256,10,10,1,1,0.7745424718158512,0.787525354969574,0.787525354969574,00:01:52.225,False
pubmed,deepwalk,256,10,10,1,1,0.7629566172213993,0.7900452488687782,0.7900452488687782,00:01:52.225,True
pubmed,deepwalk,256,10,10,1,1,0.7728851602700898,0.7885395537525355,0.7885395537525355,00:01:49.434,False
pubmed,deepwalk,256,10,10,1,1,0.7823670921849105,0.8036199095022625,0.8036199095022625,00:01:49.434,True
pubmed,deepwalk,256,10,10,1,1,0.781299954887584,0.7943711967545639,0.7943711967545639,00:01:48.781,False
pubmed,deepwalk,256,10,10,1,1,0.7674730723412265,0.7954751131221719,0.7954751131221719,00:01:48.781,True
pubmed,deepwalk,256,10,10,1,1,0.7803516195617846,0.7931034482758621,0.7931034482758621,00:01:41.769,False
pubmed,deepwalk,256,10,10,1,1,0.765932939721599,0.7900452488687782,0.7900452488687782,00:01:41.769,True
pubmed,deepwalk,256,10,10,1,1,0.7820847090281751,0.7946247464503042,0.7946247464503042,00:01:46.108,False
pubmed,deepwalk,256,10,10,1,1,0.7625056058567568,0.788235294117647,0.788235294117647,00:01:46.108,True
pubmed,deepwalk,256,10,10,1,1,0.7780782896348933,0.79158215010142,0.7915821501014199,00:01:48.514,False
pubmed,deepwalk,256,10,10,1,1,0.7734082349627517,0.7972850678733032,0.7972850678733032,00:01:48.514,True
