dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,node2vec,256,10,10,0.25,0.25,0.7838698330378561,0.7976673427991886,0.7976673427991886,00:01:52.458
pubmed,node2vec,256,10,10,0.25,0.25,0.7828609904660349,0.7943711967545639,0.7943711967545639,00:01:50.470
pubmed,node2vec,256,10,10,0.25,0.25,0.775334974139132,0.7870182555780934,0.7870182555780934,00:01:54.826
pubmed,node2vec,256,10,10,0.25,0.25,0.7766983018561048,0.7887931034482759,0.7887931034482759,00:01:54.344
pubmed,node2vec,256,10,10,0.25,0.25,0.7758118281932092,0.7877789046653145,0.7877789046653144,00:01:59.994
pubmed,node2vec,256,10,10,0.25,0.25,0.775334130937371,0.7893002028397565,0.7893002028397565,00:01:55.564
pubmed,node2vec,256,10,10,0.25,0.25,0.7804741324738039,0.7938640973630832,0.7938640973630832,00:02:01.857
pubmed,node2vec,256,10,10,0.25,0.25,0.7776095149321837,0.7910750507099392,0.7910750507099391,00:01:58.647
pubmed,node2vec,256,10,10,0.25,0.25,0.7747012208805354,0.7885395537525355,0.7885395537525355,00:01:58.913
pubmed,node2vec,256,10,10,0.25,0.25,0.7754306413950588,0.7880324543610547,0.7880324543610547,00:02:02.161
pubmed,node2vec,256,10,10,0.25,0.25,0.7757664533607057,0.7887931034482759,0.7887931034482759,00:02:05.772
pubmed,node2vec,256,10,10,0.25,0.25,0.7839943633534978,0.7976673427991886,0.7976673427991886,00:02:05.539
pubmed,node2vec,256,10,10,0.25,0.25,0.7813753748840074,0.7953853955375254,0.7953853955375254,00:02:04.224
pubmed,node2vec,256,10,10,0.25,0.25,0.7700284306212547,0.78473630831643,0.78473630831643,00:02:07.473
pubmed,node2vec,256,10,10,0.25,0.25,0.7823004956190877,0.795131845841785,0.795131845841785,00:02:08.220
pubmed,node2vec,256,10,10,0.25,0.25,0.7690008968525478,0.7849898580121704,0.7849898580121704,00:02:01.619
pubmed,node2vec,256,10,10,0.25,0.25,0.7804484144676698,0.7943711967545639,0.7943711967545639,00:02:00.464
pubmed,node2vec,256,10,10,0.25,0.25,0.7814222467611018,0.7946247464503042,0.7946247464503042,00:02:00.848
pubmed,node2vec,256,10,10,0.25,0.25,0.7767070584017537,0.7900608519269777,0.7900608519269777,00:01:59.512
pubmed,node2vec,256,10,10,0.25,0.25,0.7767052373324242,0.789553752535497,0.789553752535497,00:02:01.109
pubmed,node2vec,256,10,10,0.25,0.25,0.7834980529835427,0.7956389452332657,0.7956389452332657,00:02:11.889
pubmed,node2vec,256,10,10,0.25,0.25,0.7707655098021576,0.7862576064908722,0.7862576064908722,00:02:15.267
pubmed,node2vec,256,10,10,0.25,0.25,0.7739853824861812,0.7890466531440163,0.7890466531440162,00:02:12.914
pubmed,node2vec,256,10,10,0.25,0.25,0.780058293749785,0.79158215010142,0.7915821501014199,00:02:12.148
pubmed,node2vec,256,10,10,0.25,0.25,0.7790729190145633,0.7938640973630832,0.7938640973630832,00:02:12.896
