dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,node2vec,256,10,10,0.25,4,0.7124689354964951,0.7294915684037023,0.7294915684037023,00:00:45.491,False
pubmed,node2vec,256,10,10,0.25,4,0.6862186660240416,0.7104369481548564,0.7104369481548563,00:00:45.491,True
pubmed,node2vec,256,10,10,0.25,4,0.7157761187366453,0.7329149232914923,0.7329149232914923,00:00:44.988,False
pubmed,node2vec,256,10,10,0.25,4,0.6922514957152076,0.7199456644781524,0.7199456644781526,00:00:44.988,True
pubmed,node2vec,256,10,10,0.25,4,0.7148540426373987,0.7340560415874222,0.7340560415874223,00:00:45.497,False
pubmed,node2vec,256,10,10,0.25,4,0.6958477493216852,0.7280959927552637,0.7280959927552637,00:00:45.497,True
pubmed,node2vec,256,10,10,0.25,4,0.7203083054041438,0.7365918600228225,0.7365918600228224,00:00:46.157,False
pubmed,node2vec,256,10,10,0.25,4,0.669256891835107,0.697985057731492,0.697985057731492,00:00:46.157,True
pubmed,node2vec,256,10,10,0.25,4,0.7308067699120823,0.7454672245467224,0.7454672245467224,00:00:45.567,False
pubmed,node2vec,256,10,10,0.25,4,0.691000217401449,0.7167760923703871,0.7167760923703871,00:00:45.567,True
pubmed,node2vec,256,10,10,0.25,4,0.717677901741157,0.7357043235704324,0.7357043235704324,00:00:45.476,False
pubmed,node2vec,256,10,10,0.25,4,0.675615731767028,0.7040978039393253,0.7040978039393253,00:00:45.476,True
pubmed,node2vec,256,10,10,0.25,4,0.7145788428821523,0.7332319005959174,0.7332319005959174,00:00:46.009,False
pubmed,node2vec,256,10,10,0.25,4,0.6912517132049735,0.7172288883857822,0.7172288883857822,00:00:46.009,True
pubmed,node2vec,256,10,10,0.25,4,0.7159021556125448,0.7341828325091924,0.7341828325091924,00:00:45.252,False
pubmed,node2vec,256,10,10,0.25,4,0.6896621654604763,0.7215304505320352,0.7215304505320354,00:00:45.252,True
pubmed,node2vec,256,10,10,0.25,4,0.7222046803999498,0.7399518194497274,0.7399518194497274,00:00:45.483,False
pubmed,node2vec,256,10,10,0.25,4,0.6824468175167399,0.7097577541317636,0.7097577541317637,00:00:45.483,True
pubmed,node2vec,256,10,10,0.25,4,0.7177807203733958,0.7367820464054774,0.7367820464054774,00:00:45.676,False
pubmed,node2vec,256,10,10,0.25,4,0.6794668455049329,0.7108897441702513,0.7108897441702513,00:00:45.676,True
pubmed,node2vec,256,10,10,0.25,4,0.7178242558257031,0.7350703689615825,0.7350703689615824,00:00:45.461,False
pubmed,node2vec,256,10,10,0.25,4,0.6895440380565893,0.7142857142857143,0.7142857142857143,00:00:45.461,True
pubmed,node2vec,256,10,10,0.25,4,0.717180897392253,0.7356409281095473,0.7356409281095474,00:00:44.975,False
pubmed,node2vec,256,10,10,0.25,4,0.6894310481621959,0.7147385103011094,0.7147385103011094,00:00:44.975,True
pubmed,node2vec,256,10,10,0.25,4,0.7183335303537292,0.7379231647014073,0.7379231647014074,00:00:45.830,False
pubmed,node2vec,256,10,10,0.25,4,0.6967836205532264,0.7228888385782205,0.7228888385782205,00:00:45.830,True
pubmed,node2vec,256,10,10,0.25,4,0.719294824155846,0.7355141371877774,0.7355141371877774,00:00:46.257,False
pubmed,node2vec,256,10,10,0.25,4,0.6915436537274665,0.715870500339597,0.715870500339597,00:00:46.257,True
pubmed,node2vec,256,10,10,0.25,4,0.7275510030574726,0.7455940154684925,0.7455940154684925,00:00:46.584,False
pubmed,node2vec,256,10,10,0.25,4,0.6878186895131284,0.7160968983472945,0.7160968983472945,00:00:46.584,True
pubmed,node2vec,256,10,10,0.25,4,0.715376017730413,0.7348801825789275,0.7348801825789274,00:00:47.038,False
pubmed,node2vec,256,10,10,0.25,4,0.6889001665413822,0.7179080824088748,0.7179080824088748,00:00:47.038,True
pubmed,node2vec,256,10,10,0.25,4,0.7247089268506466,0.7415367059718524,0.7415367059718524,00:00:45.196,False
pubmed,node2vec,256,10,10,0.25,4,0.6850508210875206,0.7122481322164363,0.7122481322164365,00:00:45.196,True
pubmed,node2vec,256,10,10,0.25,4,0.7170819829039671,0.7355775326486623,0.7355775326486623,00:00:44.920,False
pubmed,node2vec,256,10,10,0.25,4,0.6792268406934645,0.7068145800316957,0.7068145800316957,00:00:44.920,True
pubmed,node2vec,256,10,10,0.25,4,0.7132634716055538,0.7324711550652974,0.7324711550652974,00:00:45.537,False
pubmed,node2vec,256,10,10,0.25,4,0.6897947315057374,0.7154177043242019,0.7154177043242019,00:00:45.537,True
pubmed,node2vec,256,10,10,0.25,4,0.7229890687695066,0.7401420058323825,0.7401420058323824,00:00:46.317,False
pubmed,node2vec,256,10,10,0.25,4,0.6921286259194916,0.7165496943626894,0.7165496943626896,00:00:46.317,True
pubmed,node2vec,256,10,10,0.25,4,0.7211258957604532,0.7387473056929124,0.7387473056929124,00:00:49.776,False
pubmed,node2vec,256,10,10,0.25,4,0.6757265622986134,0.7086257640932758,0.7086257640932759,00:00:49.776,True
pubmed,node2vec,256,10,10,0.25,4,0.7255270874671775,0.7417268923545074,0.7417268923545074,00:00:47.433,False
pubmed,node2vec,256,10,10,0.25,4,0.6956905417975646,0.7249264206474983,0.7249264206474983,00:00:47.433,True
pubmed,node2vec,256,10,10,0.25,4,0.7167074840720722,0.7385571193102574,0.7385571193102574,00:00:45.606,False
pubmed,node2vec,256,10,10,0.25,4,0.6827150349255486,0.7104369481548564,0.7104369481548563,00:00:45.606,True
pubmed,node2vec,256,10,10,0.25,4,0.7173859391188335,0.7356409281095473,0.7356409281095474,00:00:46.449,False
pubmed,node2vec,256,10,10,0.25,4,0.6827331442953497,0.7095313561240661,0.7095313561240661,00:00:46.449,True
pubmed,node2vec,256,10,10,0.25,4,0.7155554408378683,0.7320907822999874,0.7320907822999874,00:00:46.554,False
pubmed,node2vec,256,10,10,0.25,4,0.6922943500497679,0.7179080824088748,0.7179080824088748,00:00:46.554,True
pubmed,node2vec,256,10,10,0.25,4,0.7113708651298566,0.7297451502472423,0.7297451502472423,00:00:46.681,False
pubmed,node2vec,256,10,10,0.25,4,0.6919274032448978,0.7188136744396649,0.7188136744396649,00:00:46.681,True
pubmed,node2vec,256,10,10,0.25,4,0.7222223083926441,0.7400786103714974,0.7400786103714974,00:00:45.568,False
pubmed,node2vec,256,10,10,0.25,4,0.692930091044397,0.7201720624858501,0.7201720624858501,00:00:45.568,True
pubmed,node2vec,256,10,10,0.25,4,0.7207423958024907,0.7376695828578674,0.7376695828578673,00:00:45.901,False
pubmed,node2vec,256,10,10,0.25,4,0.685413877988498,0.712474530224134,0.712474530224134,00:00:45.901,True
pubmed,node2vec,256,10,10,0.25,4,0.7176997612236699,0.7355141371877774,0.7355141371877774,00:00:45.246,False
pubmed,node2vec,256,10,10,0.25,4,0.6813920181925853,0.7102105501471587,0.7102105501471587,00:00:45.246,True
pubmed,node2vec,256,10,10,0.25,4,0.7195922551198352,0.7418536832762774,0.7418536832762774,00:00:44.708,False
pubmed,node2vec,256,10,10,0.25,4,0.687446780753732,0.7133801222549242,0.7133801222549242,00:00:44.708,True
pubmed,node2vec,256,10,10,0.25,4,0.7162731732923922,0.7343730188918473,0.7343730188918474,00:00:45.149,False
pubmed,node2vec,256,10,10,0.25,4,0.6830492950839254,0.7081729680778809,0.7081729680778809,00:00:45.149,True
pubmed,node2vec,256,10,10,0.25,4,0.7205657391820844,0.7377963737796374,0.7377963737796374,00:00:44.434,False
pubmed,node2vec,256,10,10,0.25,4,0.6882789905178989,0.7145121122934118,0.7145121122934118,00:00:44.434,True
pubmed,node2vec,256,10,10,0.25,4,0.7134576293290409,0.7341828325091924,0.7341828325091924,00:00:44.182,False
pubmed,node2vec,256,10,10,0.25,4,0.6795121010150472,0.7079465700701832,0.7079465700701834,00:00:44.182,True
pubmed,node2vec,256,10,10,0.25,4,0.721766205672548,0.7383035374667174,0.7383035374667174,00:00:44.284,False
pubmed,node2vec,256,10,10,0.25,4,0.6819386848879824,0.7086257640932758,0.7086257640932759,00:00:44.284,True
pubmed,node2vec,256,10,10,0.25,4,0.717641476178124,0.7364016736401673,0.7364016736401674,00:00:44.351,False
pubmed,node2vec,256,10,10,0.25,4,0.6792422652595577,0.7043242019470228,0.7043242019470228,00:00:44.351,True
pubmed,node2vec,256,10,10,0.25,4,0.7153059948892095,0.7347533916571574,0.7347533916571574,00:00:45.259,False
pubmed,node2vec,256,10,10,0.25,4,0.686580174508378,0.7138329182703191,0.7138329182703192,00:00:45.259,True
pubmed,node2vec,256,10,10,0.25,4,0.7121547247105667,0.7322809686826424,0.7322809686826424,00:00:47.121,False
pubmed,node2vec,256,10,10,0.25,4,0.6845187050245737,0.7115689381933439,0.7115689381933439,00:00:47.121,True
pubmed,node2vec,256,10,10,0.25,4,0.7174173473037572,0.7343096234309624,0.7343096234309623,00:00:46.424,False
pubmed,node2vec,256,10,10,0.25,4,0.6808467574592,0.7063617840163007,0.7063617840163007,00:00:46.424,True
pubmed,node2vec,256,10,10,0.25,4,0.7151396304930855,0.7326613414479524,0.7326613414479524,00:00:44.952,False
pubmed,node2vec,256,10,10,0.25,4,0.6735868451361565,0.7002490378084673,0.7002490378084673,00:00:44.952,True
pubmed,node2vec,256,10,10,0.25,4,0.7204034784828778,0.7361480917966273,0.7361480917966273,00:00:45.288,False
pubmed,node2vec,256,10,10,0.25,4,0.6862924762351446,0.7149649083088069,0.7149649083088069,00:00:45.288,True
pubmed,node2vec,256,10,10,0.25,4,0.713231465895885,0.7320907822999874,0.7320907822999874,00:00:44.865,False
pubmed,node2vec,256,10,10,0.25,4,0.6789092302496232,0.7077201720624858,0.7077201720624858,00:00:44.865,True
pubmed,node2vec,256,10,10,0.25,4,0.7139917294434225,0.7332319005959174,0.7332319005959174,00:00:45.318,False
pubmed,node2vec,256,10,10,0.25,4,0.6794388978074594,0.7038714059316278,0.7038714059316278,00:00:45.318,True
pubmed,node2vec,256,10,10,0.25,4,0.7169843796551717,0.7353239508051224,0.7353239508051224,00:00:46.553,False
pubmed,node2vec,256,10,10,0.25,4,0.6904454674224559,0.7185872764319675,0.7185872764319674,00:00:46.553,True
pubmed,node2vec,256,10,10,0.25,4,0.7198867542513518,0.7393812603017624,0.7393812603017624,00:00:45.768,False
pubmed,node2vec,256,10,10,0.25,4,0.6920960154947401,0.7201720624858501,0.7201720624858501,00:00:45.768,True
pubmed,node2vec,256,10,10,0.25,4,0.7181402780984442,0.7362748827183974,0.7362748827183974,00:00:45.288,False
pubmed,node2vec,256,10,10,0.25,4,0.6734503478512881,0.7059089880009056,0.7059089880009056,00:00:45.288,True
pubmed,node2vec,256,10,10,0.25,4,0.7151489607688827,0.7325979459870673,0.7325979459870673,00:00:44.530,False
pubmed,node2vec,256,10,10,0.25,4,0.694273034812051,0.7185872764319675,0.7185872764319674,00:00:44.530,True
pubmed,node2vec,256,10,10,0.25,4,0.7114402716047925,0.7313300367693674,0.7313300367693674,00:00:44.309,False
pubmed,node2vec,256,10,10,0.25,4,0.682554387244917,0.7093049581163685,0.7093049581163686,00:00:44.309,True
pubmed,node2vec,256,10,10,0.25,4,0.7179534841424764,0.7363382781792823,0.7363382781792823,00:00:47.627,False
pubmed,node2vec,256,10,10,0.25,4,0.6911039385024232,0.7165496943626894,0.7165496943626896,00:00:47.627,True
pubmed,node2vec,256,10,10,0.25,4,0.716509978529988,0.7350069735006973,0.7350069735006973,00:00:48.572,False
pubmed,node2vec,256,10,10,0.25,4,0.6915726530450793,0.7147385103011094,0.7147385103011094,00:00:48.572,True
pubmed,node2vec,256,10,10,0.25,4,0.7145984896583487,0.7323443641435274,0.7323443641435273,00:00:48.333,False
pubmed,node2vec,256,10,10,0.25,4,0.6789387385377005,0.7061353860086031,0.7061353860086031,00:00:48.333,True
pubmed,node2vec,256,10,10,0.25,4,0.7211752599818416,0.7394446557626475,0.7394446557626474,00:00:47.973,False
pubmed,node2vec,256,10,10,0.25,4,0.6927248835496217,0.7181344804165724,0.7181344804165724,00:00:47.973,True
pubmed,node2vec,256,10,10,0.25,4,0.7195718028621624,0.7382401420058324,0.7382401420058324,00:00:46.605,False
pubmed,node2vec,256,10,10,0.25,4,0.6817790506563615,0.7070409780393933,0.7070409780393933,00:00:46.605,True
pubmed,node2vec,256,10,10,0.25,4,0.7177181702601182,0.7351971598833523,0.7351971598833523,00:00:45.633,False
pubmed,node2vec,256,10,10,0.25,4,0.693191314506743,0.7185872764319675,0.7185872764319674,00:00:45.633,True
pubmed,node2vec,256,10,10,0.25,4,0.7156996357587286,0.7346899961962725,0.7346899961962724,00:00:48.257,False
pubmed,node2vec,256,10,10,0.25,4,0.6895822414938716,0.715870500339597,0.715870500339597,00:00:48.257,True
pubmed,node2vec,256,10,10,0.25,4,0.7201784192220243,0.7385571193102574,0.7385571193102574,00:00:50.032,False
pubmed,node2vec,256,10,10,0.25,4,0.6881380047824516,0.7149649083088069,0.7149649083088069,00:00:50.032,True
pubmed,node2vec,256,10,10,0.25,4,0.7237978878396492,0.7414733105109674,0.7414733105109674,00:00:47.767,False
pubmed,node2vec,256,10,10,0.25,4,0.6810647385488107,0.7054561919855106,0.7054561919855106,00:00:47.767,True
pubmed,node2vec,256,10,10,0.25,4,0.7188193105674351,0.7373526055534424,0.7373526055534424,00:00:46.787,False
pubmed,node2vec,256,10,10,0.25,4,0.6920143808377647,0.71926647045506,0.71926647045506,00:00:46.787,True
pubmed,node2vec,256,10,10,0.25,4,0.7185924106389286,0.7355141371877774,0.7355141371877774,00:00:46.208,False
pubmed,node2vec,256,10,10,0.25,4,0.6899705804161015,0.7188136744396649,0.7188136744396649,00:00:46.208,True
pubmed,node2vec,256,10,10,0.25,4,0.7182128218206456,0.7369722327881324,0.7369722327881324,00:00:46.396,False
pubmed,node2vec,256,10,10,0.25,4,0.6871888769047132,0.7131537242472267,0.7131537242472267,00:00:46.396,True
pubmed,node2vec,256,10,10,0.25,4,0.7244233421528491,0.7415367059718524,0.7415367059718524,00:00:47.434,False
pubmed,node2vec,256,10,10,0.25,4,0.6775364454209508,0.7083993660855784,0.7083993660855784,00:00:47.434,True
pubmed,node2vec,256,10,10,0.25,4,0.7108297237918029,0.7314568276911374,0.7314568276911373,00:00:46.626,False
pubmed,node2vec,256,10,10,0.25,4,0.677058848772063,0.7065881820239982,0.7065881820239982,00:00:46.626,True
pubmed,node2vec,256,10,10,0.25,4,0.7115401952672085,0.7302523139343223,0.7302523139343223,00:00:46.697,False
pubmed,node2vec,256,10,10,0.25,4,0.6776569625057268,0.7061353860086031,0.7061353860086031,00:00:46.697,True
pubmed,node2vec,256,10,10,0.25,4,0.7164648866437631,0.7360213008748574,0.7360213008748574,00:00:46.617,False
pubmed,node2vec,256,10,10,0.25,4,0.6880103576820318,0.7131537242472267,0.7131537242472267,00:00:46.617,True
pubmed,node2vec,256,10,10,0.25,4,0.7249656686125802,0.7430581970330925,0.7430581970330924,00:00:47.669,False
pubmed,node2vec,256,10,10,0.25,4,0.6941300387619819,0.7190400724473625,0.7190400724473625,00:00:47.669,True
pubmed,node2vec,256,10,10,0.25,4,0.7130216902041303,0.7311398503867125,0.7311398503867124,00:00:46.966,False
pubmed,node2vec,256,10,10,0.25,4,0.6837863467986557,0.7099841521394613,0.7099841521394612,00:00:46.966,True
pubmed,node2vec,256,10,10,0.25,4,0.7140202410592419,0.7338658552047673,0.7338658552047673,00:00:46.023,False
pubmed,node2vec,256,10,10,0.25,4,0.696103934036363,0.7247000226398008,0.7247000226398008,00:00:46.023,True
pubmed,node2vec,256,10,10,0.25,4,0.7246997513905996,0.7441359198681374,0.7441359198681374,00:00:48.224,False
pubmed,node2vec,256,10,10,0.25,4,0.684597779353755,0.7111161421779487,0.7111161421779488,00:00:48.224,True
pubmed,node2vec,256,10,10,0.25,4,0.717360909581822,0.7348167871180423,0.7348167871180423,00:00:46.310,False
pubmed,node2vec,256,10,10,0.25,4,0.6780192841378531,0.7070409780393933,0.7070409780393933,00:00:46.310,True
pubmed,node2vec,256,10,10,0.25,4,0.722214369357071,0.7381133510840625,0.7381133510840624,00:00:46.120,False
pubmed,node2vec,256,10,10,0.25,4,0.6743494862407843,0.7074937740547883,0.7074937740547883,00:00:46.120,True
pubmed,node2vec,256,10,10,0.25,4,0.7189149517447154,0.7354507417268924,0.7354507417268924,00:00:46.265,False
pubmed,node2vec,256,10,10,0.25,4,0.6806355539838703,0.7122481322164363,0.7122481322164365,00:00:46.265,True
pubmed,node2vec,256,10,10,0.25,4,0.722359855026533,0.7398250285279574,0.7398250285279574,00:00:46.236,False
pubmed,node2vec,256,10,10,0.25,4,0.6807690124557059,0.7065881820239982,0.7065881820239982,00:00:46.236,True
pubmed,node2vec,256,10,10,0.25,4,0.7179182924273603,0.7344364143527324,0.7344364143527323,00:00:46.014,False
pubmed,node2vec,256,10,10,0.25,4,0.6909955664602916,0.7188136744396649,0.7188136744396649,00:00:46.014,True
