dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,node2vec,256,10,10,0.25,4,0.7687167886511093,0.7814401622718052,0.7814401622718052,00:01:04.525,False
pubmed,node2vec,256,10,10,0.25,4,0.764422363280122,0.7864253393665158,0.7864253393665158,00:01:04.525,True
pubmed,node2vec,256,10,10,0.25,4,0.7749081884233805,0.7890466531440163,0.7890466531440162,00:01:04.376,False
pubmed,node2vec,256,10,10,0.25,4,0.7584736630362942,0.7837104072398191,0.783710407239819,00:01:04.376,True
pubmed,node2vec,256,10,10,0.25,4,0.7763517936369787,0.7918356997971603,0.7918356997971603,00:01:03.937,False
pubmed,node2vec,256,10,10,0.25,4,0.7561458369056786,0.7819004524886878,0.7819004524886878,00:01:03.937,True
pubmed,node2vec,256,10,10,0.25,4,0.7740179703235412,0.7890466531440163,0.7890466531440162,00:01:04.435,False
pubmed,node2vec,256,10,10,0.25,4,0.7685218342072241,0.8000000000000002,0.8,00:01:04.435,True
pubmed,node2vec,256,10,10,0.25,4,0.7670484824494809,0.7816937119675458,0.7816937119675457,00:01:04.335,False
pubmed,node2vec,256,10,10,0.25,4,0.767163033045386,0.7900452488687782,0.7900452488687782,00:01:04.335,True
pubmed,node2vec,256,10,10,0.25,4,0.7779426261948185,0.7905679513184585,0.7905679513184585,00:01:04.390,False
pubmed,node2vec,256,10,10,0.25,4,0.7657668873366634,0.7891402714932126,0.7891402714932126,00:01:04.390,True
pubmed,node2vec,256,10,10,0.25,4,0.7738595666756606,0.7890466531440163,0.7890466531440162,00:01:04.550,False
pubmed,node2vec,256,10,10,0.25,4,0.7771224575328289,0.8018099547511311,0.8018099547511313,00:01:04.550,True
pubmed,node2vec,256,10,10,0.25,4,0.7695009514495577,0.7844827586206896,0.7844827586206896,00:01:04.599,False
pubmed,node2vec,256,10,10,0.25,4,0.7520125735769753,0.7809954751131222,0.7809954751131222,00:01:04.599,True
pubmed,node2vec,256,10,10,0.25,4,0.7738649796400758,0.7882860040567952,0.7882860040567952,00:01:04.667,False
pubmed,node2vec,256,10,10,0.25,4,0.7752602531595968,0.7990950226244344,0.7990950226244344,00:01:04.667,True
pubmed,node2vec,256,10,10,0.25,4,0.7782133445205001,0.7913286004056795,0.7913286004056795,00:01:04.655,False
pubmed,node2vec,256,10,10,0.25,4,0.7727228271812447,0.7945701357466063,0.7945701357466063,00:01:04.655,True
pubmed,node2vec,256,10,10,0.25,4,0.7816808769548459,0.7961460446247464,0.7961460446247465,00:01:04.470,False
pubmed,node2vec,256,10,10,0.25,4,0.7792379066649149,0.8000000000000002,0.8,00:01:04.470,True
pubmed,node2vec,256,10,10,0.25,4,0.7663267749430166,0.7806795131845842,0.7806795131845842,00:01:04.228,False
pubmed,node2vec,256,10,10,0.25,4,0.7643103699350485,0.7855203619909502,0.7855203619909502,00:01:04.228,True
pubmed,node2vec,256,10,10,0.25,4,0.7735290717836089,0.7870182555780934,0.7870182555780934,00:01:04.045,False
pubmed,node2vec,256,10,10,0.25,4,0.7811071516534632,0.8018099547511311,0.8018099547511313,00:01:04.045,True
pubmed,node2vec,256,10,10,0.25,4,0.777776222097903,0.7893002028397565,0.7893002028397565,00:01:04.124,False
pubmed,node2vec,256,10,10,0.25,4,0.773068598451225,0.7963800904977375,0.7963800904977375,00:01:04.124,True
pubmed,node2vec,256,10,10,0.25,4,0.770045615699189,0.7834685598377282,0.7834685598377282,00:01:04.026,False
pubmed,node2vec,256,10,10,0.25,4,0.7792145001317475,0.802714932126697,0.8027149321266969,00:01:04.026,True
pubmed,node2vec,256,10,10,0.25,4,0.7763064598294216,0.7898073022312373,0.7898073022312373,00:01:04.268,False
pubmed,node2vec,256,10,10,0.25,4,0.7781668138714117,0.7972850678733032,0.7972850678733032,00:01:04.268,True
pubmed,node2vec,256,10,10,0.25,4,0.7799104422291387,0.7910750507099392,0.7910750507099391,00:01:03.623,False
pubmed,node2vec,256,10,10,0.25,4,0.7739432014248343,0.7963800904977375,0.7963800904977375,00:01:03.623,True
pubmed,node2vec,256,10,10,0.25,4,0.7754017318524881,0.7913286004056795,0.7913286004056795,00:01:03.540,False
pubmed,node2vec,256,10,10,0.25,4,0.7699706347345292,0.7936651583710407,0.7936651583710407,00:01:03.540,True
pubmed,node2vec,256,10,10,0.25,4,0.7846623961579137,0.797920892494929,0.797920892494929,00:01:03.756,False
pubmed,node2vec,256,10,10,0.25,4,0.772378578961031,0.7981900452488688,0.7981900452488688,00:01:03.756,True
pubmed,node2vec,256,10,10,0.25,4,0.7761434146032947,0.7913286004056795,0.7913286004056795,00:01:03.858,False
pubmed,node2vec,256,10,10,0.25,4,0.7726520990422822,0.7981900452488688,0.7981900452488688,00:01:03.858,True
pubmed,node2vec,256,10,10,0.25,4,0.7785839361215152,0.7931034482758621,0.7931034482758621,00:01:04.155,False
pubmed,node2vec,256,10,10,0.25,4,0.7678226987827719,0.7909502262443439,0.7909502262443439,00:01:04.155,True
pubmed,node2vec,256,10,10,0.25,4,0.7834188486648527,0.7963995943204868,0.7963995943204868,00:01:04.169,False
pubmed,node2vec,256,10,10,0.25,4,0.7828144760894897,0.802714932126697,0.8027149321266969,00:01:04.169,True
pubmed,node2vec,256,10,10,0.25,4,0.7711249653642304,0.7865111561866126,0.7865111561866126,00:01:04.299,False
pubmed,node2vec,256,10,10,0.25,4,0.7603933748578111,0.7891402714932126,0.7891402714932126,00:01:04.299,True
pubmed,node2vec,256,10,10,0.25,4,0.7663034194003157,0.7832150101419878,0.7832150101419878,00:01:04.244,False
pubmed,node2vec,256,10,10,0.25,4,0.7701366454959592,0.7945701357466063,0.7945701357466063,00:01:04.244,True
pubmed,node2vec,256,10,10,0.25,4,0.7777067257069138,0.7898073022312373,0.7898073022312373,00:01:03.963,False
pubmed,node2vec,256,10,10,0.25,4,0.758681040285194,0.7837104072398191,0.783710407239819,00:01:03.963,True
pubmed,node2vec,256,10,10,0.25,4,0.7711790967109726,0.7842292089249493,0.7842292089249493,00:01:04.366,False
pubmed,node2vec,256,10,10,0.25,4,0.774492814247871,0.7981900452488688,0.7981900452488688,00:01:04.366,True
pubmed,node2vec,256,10,10,0.25,4,0.7730836714342849,0.7870182555780934,0.7870182555780934,00:01:03.552,False
pubmed,node2vec,256,10,10,0.25,4,0.7749712238427774,0.7981900452488688,0.7981900452488688,00:01:03.552,True
pubmed,node2vec,256,10,10,0.25,4,0.7717022528036295,0.7865111561866126,0.7865111561866126,00:01:03.655,False
pubmed,node2vec,256,10,10,0.25,4,0.7793817900489834,0.7990950226244344,0.7990950226244344,00:01:03.655,True
pubmed,node2vec,256,10,10,0.25,4,0.7702881970088572,0.78473630831643,0.78473630831643,00:01:03.362,False
pubmed,node2vec,256,10,10,0.25,4,0.765836224634775,0.792760180995475,0.7927601809954751,00:01:03.362,True
pubmed,node2vec,256,10,10,0.25,4,0.769132770860898,0.7829614604462475,0.7829614604462475,00:01:04.536,False
pubmed,node2vec,256,10,10,0.25,4,0.7720660859652703,0.7945701357466063,0.7945701357466063,00:01:04.536,True
pubmed,node2vec,256,10,10,0.25,4,0.7789694116237743,0.7941176470588235,0.7941176470588235,00:01:04.120,False
pubmed,node2vec,256,10,10,0.25,4,0.7579869980362933,0.7800904977375566,0.7800904977375566,00:01:04.120,True
pubmed,node2vec,256,10,10,0.25,4,0.7816405945597992,0.7938640973630832,0.7938640973630832,00:01:04.222,False
pubmed,node2vec,256,10,10,0.25,4,0.7624930131663682,0.7873303167420814,0.7873303167420814,00:01:04.222,True
pubmed,node2vec,256,10,10,0.25,4,0.7735877719319119,0.7887931034482759,0.7887931034482759,00:01:04.310,False
pubmed,node2vec,256,10,10,0.25,4,0.7709197576839389,0.7963800904977375,0.7963800904977375,00:01:04.310,True
pubmed,node2vec,256,10,10,0.25,4,0.7769755025424012,0.7913286004056795,0.7913286004056795,00:01:03.684,False
pubmed,node2vec,256,10,10,0.25,4,0.7780112044817927,0.8009049773755657,0.8009049773755657,00:01:03.684,True
pubmed,node2vec,256,10,10,0.25,4,0.7652705661314497,0.7809330628803245,0.7809330628803245,00:01:04.240,False
pubmed,node2vec,256,10,10,0.25,4,0.7733098596478616,0.7954751131221719,0.7954751131221719,00:01:04.240,True
pubmed,node2vec,256,10,10,0.25,4,0.7680754002225229,0.7857505070993914,0.7857505070993914,00:01:04.079,False
pubmed,node2vec,256,10,10,0.25,4,0.7683083897794228,0.7918552036199095,0.7918552036199095,00:01:04.079,True
pubmed,node2vec,256,10,10,0.25,4,0.7731354860026817,0.7872718052738337,0.7872718052738337,00:01:03.853,False
pubmed,node2vec,256,10,10,0.25,4,0.766736800763059,0.7936651583710407,0.7936651583710407,00:01:03.853,True
pubmed,node2vec,256,10,10,0.25,4,0.7771613032888213,0.7928498985801218,0.7928498985801217,00:01:04.448,False
pubmed,node2vec,256,10,10,0.25,4,0.7719209142715163,0.7954751131221719,0.7954751131221719,00:01:04.448,True
pubmed,node2vec,256,10,10,0.25,4,0.7745143467635612,0.7887931034482759,0.7887931034482759,00:01:03.927,False
pubmed,node2vec,256,10,10,0.25,4,0.7715560026389997,0.7936651583710407,0.7936651583710407,00:01:03.927,True
pubmed,node2vec,256,10,10,0.25,4,0.7741238498290762,0.7877789046653145,0.7877789046653144,00:01:03.349,False
pubmed,node2vec,256,10,10,0.25,4,0.762810599108024,0.788235294117647,0.788235294117647,00:01:03.349,True
pubmed,node2vec,256,10,10,0.25,4,0.7669189148460266,0.7814401622718052,0.7814401622718052,00:01:03.346,False
pubmed,node2vec,256,10,10,0.25,4,0.7793632363777195,0.8036199095022625,0.8036199095022625,00:01:03.346,True
pubmed,node2vec,256,10,10,0.25,4,0.782231143228977,0.7936105476673428,0.7936105476673428,00:01:03.599,False
pubmed,node2vec,256,10,10,0.25,4,0.7665228341449993,0.7900452488687782,0.7900452488687782,00:01:03.599,True
pubmed,node2vec,256,10,10,0.25,4,0.7654024078154015,0.7794117647058824,0.7794117647058824,00:01:03.824,False
pubmed,node2vec,256,10,10,0.25,4,0.7748366111949793,0.8018099547511311,0.8018099547511313,00:01:03.824,True
pubmed,node2vec,256,10,10,0.25,4,0.7674678552068404,0.7829614604462475,0.7829614604462475,00:01:03.755,False
pubmed,node2vec,256,10,10,0.25,4,0.7722718327458425,0.7963800904977375,0.7963800904977375,00:01:03.755,True
pubmed,node2vec,256,10,10,0.25,4,0.7717527837700211,0.7867647058823529,0.7867647058823529,00:01:04.074,False
pubmed,node2vec,256,10,10,0.25,4,0.7793751326533361,0.8018099547511311,0.8018099547511313,00:01:04.074,True
pubmed,node2vec,256,10,10,0.25,4,0.7801627988450198,0.7920892494929005,0.7920892494929006,00:01:03.694,False
pubmed,node2vec,256,10,10,0.25,4,0.7773875554781989,0.7990950226244344,0.7990950226244344,00:01:03.694,True
pubmed,node2vec,256,10,10,0.25,4,0.7719262656476866,0.7844827586206896,0.7844827586206896,00:01:04.226,False
pubmed,node2vec,256,10,10,0.25,4,0.7946957997024606,0.8108597285067873,0.8108597285067873,00:01:04.226,True
pubmed,node2vec,256,10,10,0.25,4,0.7740302776493605,0.7890466531440163,0.7890466531440162,00:01:03.138,False
pubmed,node2vec,256,10,10,0.25,4,0.7745417872489697,0.7990950226244344,0.7990950226244344,00:01:03.138,True
pubmed,node2vec,256,10,10,0.25,4,0.7759576810818244,0.7910750507099392,0.7910750507099391,00:01:03.753,False
pubmed,node2vec,256,10,10,0.25,4,0.756842677146647,0.7864253393665158,0.7864253393665158,00:01:03.753,True
pubmed,node2vec,256,10,10,0.25,4,0.7744634009610447,0.7890466531440163,0.7890466531440162,00:01:04.213,False
pubmed,node2vec,256,10,10,0.25,4,0.7452030967345777,0.7737556561085974,0.7737556561085973,00:01:04.213,True
pubmed,node2vec,256,10,10,0.25,4,0.7782399584296757,0.7920892494929005,0.7920892494929006,00:01:03.945,False
pubmed,node2vec,256,10,10,0.25,4,0.7893816902709032,0.8117647058823529,0.8117647058823529,00:01:03.945,True
pubmed,node2vec,256,10,10,0.25,4,0.7826183445031919,0.795892494929006,0.795892494929006,00:01:04.240,False
pubmed,node2vec,256,10,10,0.25,4,0.7725976898075865,0.8000000000000002,0.8,00:01:04.240,True
pubmed,node2vec,256,10,10,0.25,4,0.773117762926903,0.7890466531440163,0.7890466531440162,00:01:03.572,False
pubmed,node2vec,256,10,10,0.25,4,0.7712346856144302,0.7945701357466063,0.7945701357466063,00:01:03.572,True
pubmed,node2vec,256,10,10,0.25,4,0.7785313199023102,0.7925963488843814,0.7925963488843814,00:01:04.399,False
pubmed,node2vec,256,10,10,0.25,4,0.777959758995311,0.7981900452488688,0.7981900452488688,00:01:04.399,True
pubmed,node2vec,256,10,10,0.25,4,0.7781722366043309,0.7925963488843814,0.7925963488843814,00:01:04.005,False
pubmed,node2vec,256,10,10,0.25,4,0.7601156353839613,0.7873303167420814,0.7873303167420814,00:01:04.005,True
pubmed,node2vec,256,10,10,0.25,4,0.7773337648730122,0.7928498985801218,0.7928498985801217,00:01:03.701,False
pubmed,node2vec,256,10,10,0.25,4,0.7717393553313731,0.7954751131221719,0.7954751131221719,00:01:03.701,True
