dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,pagerank,256,10,10,0.25,0.25,0.801940970598499,0.8156693711967545,0.8156693711967545,00:06:06.970
pubmed,pagerank,256,10,10,0.25,0.25,0.8077983448178676,0.8212474645030426,0.8212474645030426,00:05:59.834
pubmed,pagerank,256,10,10,0.25,0.25,0.8094201897997766,0.8212474645030426,0.8212474645030426,00:06:00.257
pubmed,pagerank,256,10,10,0.25,0.25,0.8064312633920697,0.8192190669371197,0.8192190669371197,00:06:00.459
pubmed,pagerank,256,10,10,0.25,0.25,0.8076760456280853,0.8197261663286004,0.8197261663286004,00:05:58.420
pubmed,pagerank,256,10,10,0.25,0.25,0.8089791471401045,0.8217545638945233,0.8217545638945233,00:05:59.219
pubmed,pagerank,256,10,10,0.25,0.25,0.8048475897711111,0.8179513184584178,0.8179513184584178,00:05:59.806
pubmed,pagerank,256,10,10,0.25,0.25,0.8107385026723888,0.8227687626774848,0.8227687626774848,00:05:58.562
pubmed,pagerank,256,10,10,0.25,0.25,0.8003937246144629,0.8146551724137931,0.8146551724137931,00:05:59.403
pubmed,pagerank,256,10,10,0.25,0.25,0.8088430102244045,0.8212474645030426,0.8212474645030426,00:05:59.319
pubmed,pagerank,256,10,10,0.25,0.25,0.8028330674278257,0.8151622718052738,0.8151622718052738,00:06:01.734
pubmed,pagerank,256,10,10,0.25,0.25,0.8064426045044715,0.8194726166328601,0.8194726166328601,00:06:03.449
pubmed,pagerank,256,10,10,0.25,0.25,0.8083716391409661,0.8209939148073022,0.8209939148073022,00:06:01.538
pubmed,pagerank,256,10,10,0.25,0.25,0.8080894037639942,0.8209939148073022,0.8209939148073022,00:05:57.981
pubmed,pagerank,256,10,10,0.25,0.25,0.8098373964331946,0.8209939148073022,0.8209939148073022,00:05:57.729
pubmed,pagerank,256,10,10,0.25,0.25,0.8045009609802247,0.818204868154158,0.8182048681541582,00:05:59.020
pubmed,pagerank,256,10,10,0.25,0.25,0.8065784981444302,0.8187119675456389,0.8187119675456389,00:06:03.109
pubmed,pagerank,256,10,10,0.25,0.25,0.8079140422061446,0.8192190669371197,0.8192190669371197,00:05:57.777
pubmed,pagerank,256,10,10,0.25,0.25,0.8068736405530492,0.8197261663286004,0.8197261663286004,00:05:57.220
pubmed,pagerank,256,10,10,0.25,0.25,0.804713853525894,0.8184584178498986,0.8184584178498986,00:05:58.335
pubmed,pagerank,256,10,10,0.25,0.25,0.8053854123615781,0.8189655172413793,0.8189655172413793,00:05:56.470
pubmed,pagerank,256,10,10,0.25,0.25,0.8046486695384466,0.8179513184584178,0.8179513184584178,00:05:52.781
pubmed,pagerank,256,10,10,0.25,0.25,0.8057574964394818,0.8194726166328601,0.8194726166328601,00:05:54.360
pubmed,pagerank,256,10,10,0.25,0.25,0.8033386710202904,0.815922920892495,0.815922920892495,00:05:52.691
pubmed,pagerank,256,10,10,0.25,0.25,0.8096159161968988,0.821501014198783,0.821501014198783,00:05:53.453
pubmed,pagerank,256,10,10,0.25,0.25,0.8045682177840822,0.8174442190669371,0.8174442190669371,00:05:54.731
pubmed,pagerank,256,10,10,0.25,0.25,0.8095060208135764,0.8217545638945233,0.8217545638945233,00:05:54.776
pubmed,pagerank,256,10,10,0.25,0.25,0.8026720131066608,0.8136409736308317,0.8136409736308317,00:05:56.406
pubmed,pagerank,256,10,10,0.25,0.25,0.7977304804347303,0.8113590263691683,0.8113590263691683,00:05:54.954
pubmed,pagerank,256,10,10,0.25,0.25,0.8040342997290134,0.816683569979716,0.816683569979716,00:05:54.133
