dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,pagerank,256,10,10,1,1,0.7973111943522572,0.8100671991885381,0.8100671991885381,00:03:49.941,False
pubmed,pagerank,256,10,10,1,1,0.7447559650533027,0.7695789950203712,0.7695789950203712,00:03:49.941,True
pubmed,pagerank,256,10,10,1,1,0.7924630189331149,0.805629516926588,0.805629516926588,00:03:46.692,False
pubmed,pagerank,256,10,10,1,1,0.7536760013912819,0.7799909461294703,0.7799909461294704,00:03:46.692,True
pubmed,pagerank,256,10,10,1,1,0.7967724855658838,0.809179662736148,0.809179662736148,00:03:46.783,False
pubmed,pagerank,256,10,10,1,1,0.7430411031633306,0.7713897691263015,0.7713897691263015,00:03:46.783,True
pubmed,pagerank,256,10,10,1,1,0.7906787552486229,0.802586534804108,0.802586534804108,00:03:46.696,False
pubmed,pagerank,256,10,10,1,1,0.7542987259538393,0.7822544137618832,0.7822544137618832,00:03:46.696,True
pubmed,pagerank,256,10,10,1,1,0.7949853261711213,0.807658171674908,0.807658171674908,00:03:44.664,False
pubmed,pagerank,256,10,10,1,1,0.7482262374465551,0.7777274784970575,0.7777274784970575,00:03:44.664,True
pubmed,pagerank,256,10,10,1,1,0.7946027424901763,0.806390262457208,0.806390262457208,00:03:44.814,False
pubmed,pagerank,256,10,10,1,1,0.7495432856329178,0.7754640108646447,0.7754640108646447,00:03:44.814,True
pubmed,pagerank,256,10,10,1,1,0.7987290804773007,0.8100671991885381,0.8100671991885381,00:03:44.034,False
pubmed,pagerank,256,10,10,1,1,0.7559586513098006,0.783612494341331,0.783612494341331,00:03:44.034,True
pubmed,pagerank,256,10,10,1,1,0.7996599738949332,0.811842272093318,0.8118422720933182,00:03:44.807,False
pubmed,pagerank,256,10,10,1,1,0.7534887799527915,0.7795382526029878,0.7795382526029878,00:03:44.807,True
pubmed,pagerank,256,10,10,1,1,0.7967369038721673,0.8090528718143781,0.8090528718143781,00:03:45.503,False
pubmed,pagerank,256,10,10,1,1,0.7490687674997306,0.775011317338162,0.7750113173381621,00:03:45.503,True
pubmed,pagerank,256,10,10,1,1,0.7981506512905532,0.8093064536579181,0.8093064536579181,00:03:47.189,False
pubmed,pagerank,256,10,10,1,1,0.7499232399013581,0.7763693979176096,0.7763693979176097,00:03:47.189,True
pubmed,pagerank,256,10,10,1,1,0.8004351295784785,0.8123494357803981,0.8123494357803981,00:03:48.098,False
pubmed,pagerank,256,10,10,1,1,0.7558993262275252,0.7808963331824355,0.7808963331824355,00:03:48.098,True
pubmed,pagerank,256,10,10,1,1,0.7929982325233463,0.806136680613668,0.806136680613668,00:03:46.709,False
pubmed,pagerank,256,10,10,1,1,0.7449411860893949,0.7736532367587143,0.7736532367587143,00:03:46.709,True
pubmed,pagerank,256,10,10,1,1,0.7942598518499845,0.8070242170660581,0.8070242170660581,00:03:47.506,False
pubmed,pagerank,256,10,10,1,1,0.741156726613907,0.768673607967406,0.768673607967406,00:03:47.506,True
pubmed,pagerank,256,10,10,1,1,0.7966385965060843,0.8090528718143781,0.8090528718143781,00:03:46.597,False
pubmed,pagerank,256,10,10,1,1,0.7521834322742901,0.7772747849705749,0.7772747849705749,00:03:46.597,True
pubmed,pagerank,256,10,10,1,1,0.7926669691921088,0.8053759350830481,0.8053759350830481,00:03:46.643,False
pubmed,pagerank,256,10,10,1,1,0.7580207114254599,0.7840651878678135,0.7840651878678135,00:03:46.643,True
pubmed,pagerank,256,10,10,1,1,0.795244052286825,0.8071510079878279,0.807151007987828,00:03:47.049,False
pubmed,pagerank,256,10,10,1,1,0.7528995371490116,0.7795382526029878,0.7795382526029878,00:03:47.049,True
pubmed,pagerank,256,10,10,1,1,0.7961251125192446,0.8074045898313681,0.8074045898313681,00:03:47.359,False
pubmed,pagerank,256,10,10,1,1,0.7584729186985179,0.7854232684472612,0.7854232684472612,00:03:47.359,True
pubmed,pagerank,256,10,10,1,1,0.7981398250579067,0.810574362875618,0.8105743628756181,00:03:46.254,False
pubmed,pagerank,256,10,10,1,1,0.7420961064425363,0.7718424626527841,0.7718424626527841,00:03:46.254,True
pubmed,pagerank,256,10,10,1,1,0.7927669871054518,0.806009889691898,0.806009889691898,00:03:10.532,False
pubmed,pagerank,256,10,10,1,1,0.7496269444284174,0.7754640108646447,0.7754640108646447,00:03:10.532,True
pubmed,pagerank,256,10,10,1,1,0.7938763939486769,0.806897426144288,0.806897426144288,00:03:09.377,False
pubmed,pagerank,256,10,10,1,1,0.749797821111227,0.7772747849705749,0.7772747849705749,00:03:09.377,True
pubmed,pagerank,256,10,10,1,1,0.790787224591544,0.802459743882338,0.802459743882338,00:03:09.431,False
pubmed,pagerank,256,10,10,1,1,0.7434632580507875,0.7700316885468538,0.7700316885468538,00:03:09.431,True
pubmed,pagerank,256,10,10,1,1,0.7979344246335499,0.809686826423228,0.8096868264232281,00:03:08.868,False
pubmed,pagerank,256,10,10,1,1,0.7505621345531993,0.7786328655500226,0.7786328655500226,00:03:08.868,True
pubmed,pagerank,256,10,10,1,1,0.7936391246999408,0.806770635222518,0.806770635222518,00:03:09.781,False
pubmed,pagerank,256,10,10,1,1,0.7427980542160405,0.7691263014938886,0.7691263014938886,00:03:09.781,True
pubmed,pagerank,256,10,10,1,1,0.794768934722928,0.8075313807531381,0.8075313807531381,00:03:11.033,False
pubmed,pagerank,256,10,10,1,1,0.761009795965082,0.7849705749207786,0.7849705749207786,00:03:11.033,True
pubmed,pagerank,256,10,10,1,1,0.802388681011665,0.8148852542157982,0.8148852542157982,00:03:09.471,False
pubmed,pagerank,256,10,10,1,1,0.7597973884368362,0.7849705749207786,0.7849705749207786,00:03:09.471,True
pubmed,pagerank,256,10,10,1,1,0.7931405703617264,0.806517053378978,0.806517053378978,00:03:09.160,False
pubmed,pagerank,256,10,10,1,1,0.7533414100286486,0.7804436396559529,0.7804436396559529,00:03:09.160,True
pubmed,pagerank,256,10,10,1,1,0.7962064426591304,0.808926080892608,0.8089260808926081,00:03:09.714,False
pubmed,pagerank,256,10,10,1,1,0.749519829525668,0.7768220914440923,0.7768220914440923,00:03:09.714,True
pubmed,pagerank,256,10,10,1,1,0.797869579975497,0.808418917205528,0.808418917205528,00:03:09.562,False
pubmed,pagerank,256,10,10,1,1,0.7546806248669592,0.7786328655500226,0.7786328655500226,00:03:09.562,True
pubmed,pagerank,256,10,10,1,1,0.7965662916348487,0.8086724990490681,0.8086724990490681,00:03:08.810,False
pubmed,pagerank,256,10,10,1,1,0.7485809566729968,0.7754640108646447,0.7754640108646447,00:03:08.810,True
pubmed,pagerank,256,10,10,1,1,0.7958754318153488,0.808165335361988,0.8081653353619881,00:03:09.137,False
pubmed,pagerank,256,10,10,1,1,0.7496924487472841,0.7763693979176096,0.7763693979176097,00:03:09.137,True
pubmed,pagerank,256,10,10,1,1,0.7952583014563045,0.8075313807531381,0.8075313807531381,00:03:09.502,False
pubmed,pagerank,256,10,10,1,1,0.7462771559835207,0.7736532367587143,0.7736532367587143,00:03:09.502,True
pubmed,pagerank,256,10,10,1,1,0.8003909992110634,0.8117154811715481,0.8117154811715481,00:03:09.282,False
pubmed,pagerank,256,10,10,1,1,0.7565826093943556,0.7840651878678135,0.7840651878678135,00:03:09.282,True
pubmed,pagerank,256,10,10,1,1,0.7989519942836668,0.8104475719538482,0.8104475719538481,00:03:09.370,False
pubmed,pagerank,256,10,10,1,1,0.7478059746532654,0.7754640108646447,0.7754640108646447,00:03:09.370,True
pubmed,pagerank,256,10,10,1,1,0.7985461077141446,0.8112083174844681,0.8112083174844681,00:03:10.638,False
pubmed,pagerank,256,10,10,1,1,0.7537528366709106,0.7795382526029878,0.7795382526029878,00:03:10.638,True
pubmed,pagerank,256,10,10,1,1,0.7933383231253434,0.806897426144288,0.806897426144288,00:03:09.546,False
pubmed,pagerank,256,10,10,1,1,0.7436960275360355,0.7718424626527841,0.7718424626527841,00:03:09.546,True
pubmed,pagerank,256,10,10,1,1,0.7943134712431122,0.8074045898313681,0.8074045898313681,00:03:09.172,False
pubmed,pagerank,256,10,10,1,1,0.7489938596404383,0.7763693979176096,0.7763693979176097,00:03:09.172,True
pubmed,pagerank,256,10,10,1,1,0.7931784733337265,0.806770635222518,0.806770635222518,00:03:09.134,False
pubmed,pagerank,256,10,10,1,1,0.7452400433828851,0.7732005432322318,0.7732005432322318,00:03:09.134,True
pubmed,pagerank,256,10,10,1,1,0.7918270624692488,0.8048687713959679,0.804868771395968,00:03:09.544,False
pubmed,pagerank,256,10,10,1,1,0.7473428352154157,0.7745586238116796,0.7745586238116795,00:03:09.544,True
pubmed,pagerank,256,10,10,1,1,0.8005988086959116,0.8127298085457081,0.8127298085457081,00:03:10.246,False
pubmed,pagerank,256,10,10,1,1,0.7496927522818108,0.7786328655500226,0.7786328655500226,00:03:10.246,True
pubmed,pagerank,256,10,10,1,1,0.7959894073470769,0.809179662736148,0.809179662736148,00:03:10.178,False
pubmed,pagerank,256,10,10,1,1,0.7516040079754456,0.7768220914440923,0.7768220914440923,00:03:10.178,True
pubmed,pagerank,256,10,10,1,1,0.7937836627548532,0.806009889691898,0.806009889691898,00:03:10.222,False
pubmed,pagerank,256,10,10,1,1,0.7497493364240647,0.7781801720235401,0.7781801720235401,00:03:10.222,True
pubmed,pagerank,256,10,10,1,1,0.7908951878536071,0.8047419804741981,0.8047419804741981,00:03:10.214,False
pubmed,pagerank,256,10,10,1,1,0.7483825972466454,0.7799909461294703,0.7799909461294704,00:03:10.214,True
pubmed,pagerank,256,10,10,1,1,0.7929307885822235,0.8048687713959679,0.804868771395968,00:03:10.443,False
pubmed,pagerank,256,10,10,1,1,0.7491476500692341,0.7745586238116796,0.7745586238116795,00:03:10.443,True
pubmed,pagerank,256,10,10,1,1,0.7924526117446922,0.8042348167871181,0.8042348167871181,00:03:10.646,False
pubmed,pagerank,256,10,10,1,1,0.7567866810154261,0.7854232684472612,0.7854232684472612,00:03:10.646,True
pubmed,pagerank,256,10,10,1,1,0.7935477817581713,0.805756307848358,0.805756307848358,00:03:10.550,False
pubmed,pagerank,256,10,10,1,1,0.7443516153720472,0.7709370755998189,0.7709370755998189,00:03:10.550,True
pubmed,pagerank,256,10,10,1,1,0.7975854365161729,0.809560035501458,0.809560035501458,00:03:10.390,False
pubmed,pagerank,256,10,10,1,1,0.7552665776358515,0.7822544137618832,0.7822544137618832,00:03:10.390,True
pubmed,pagerank,256,10,10,1,1,0.8001452148670825,0.811842272093318,0.8118422720933182,00:03:10.047,False
pubmed,pagerank,256,10,10,1,1,0.7513845135902057,0.7781801720235401,0.7781801720235401,00:03:10.047,True
pubmed,pagerank,256,10,10,1,1,0.7981829198024691,0.8112083174844681,0.8112083174844681,00:03:10.640,False
pubmed,pagerank,256,10,10,1,1,0.7476734171349354,0.7745586238116796,0.7745586238116795,00:03:10.640,True
pubmed,pagerank,256,10,10,1,1,0.7921516759144906,0.8046151895524281,0.8046151895524281,00:02:41.863,False
pubmed,pagerank,256,10,10,1,1,0.7464135024911499,0.7745586238116796,0.7745586238116795,00:02:41.863,True
pubmed,pagerank,256,10,10,1,1,0.7985876419564546,0.8114618993280082,0.8114618993280082,00:02:40.975,False
pubmed,pagerank,256,10,10,1,1,0.7616947921818978,0.7904028972385695,0.7904028972385695,00:02:40.975,True
