dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken,is_periphery
pubmed,pagerank,256,10,10,1,1,0.8045757964876596,0.8169371196754563,0.8169371196754563,00:02:47.743,False
pubmed,pagerank,256,10,10,1,1,0.7673524004811427,0.7909502262443439,0.7909502262443439,00:02:47.743,True
pubmed,pagerank,256,10,10,1,1,0.80413136316943,0.8164300202839757,0.8164300202839757,00:02:48.704,False
pubmed,pagerank,256,10,10,1,1,0.7770540171463732,0.8045248868778281,0.8045248868778281,00:02:48.704,True
pubmed,pagerank,256,10,10,1,1,0.8051083020393301,0.8189655172413793,0.8189655172413793,00:02:48.087,False
pubmed,pagerank,256,10,10,1,1,0.7833704954400583,0.8063348416289592,0.8063348416289593,00:02:48.087,True
pubmed,pagerank,256,10,10,1,1,0.800603218959005,0.8126267748478702,0.8126267748478702,00:02:48.802,False
pubmed,pagerank,256,10,10,1,1,0.7690695197824023,0.7909502262443439,0.7909502262443439,00:02:48.802,True
pubmed,pagerank,256,10,10,1,1,0.8050541039880331,0.8171906693711968,0.8171906693711968,00:02:48.591,False
pubmed,pagerank,256,10,10,1,1,0.7765582661443869,0.8009049773755657,0.8009049773755657,00:02:48.591,True
pubmed,pagerank,256,10,10,1,1,0.8069598258521843,0.8202332657200812,0.8202332657200812,00:02:47.737,False
pubmed,pagerank,256,10,10,1,1,0.768824971184107,0.7945701357466063,0.7945701357466063,00:02:47.737,True
pubmed,pagerank,256,10,10,1,1,0.803733994302541,0.8154158215010142,0.8154158215010142,00:02:47.613,False
pubmed,pagerank,256,10,10,1,1,0.7708371267111209,0.7936651583710407,0.7936651583710407,00:02:47.613,True
pubmed,pagerank,256,10,10,1,1,0.8049907349877635,0.8184584178498986,0.8184584178498986,00:02:47.612,False
pubmed,pagerank,256,10,10,1,1,0.7688455547845008,0.7918552036199095,0.7918552036199095,00:02:47.612,True
pubmed,pagerank,256,10,10,1,1,0.8133182460427805,0.8245436105476673,0.8245436105476673,00:02:47.534,False
pubmed,pagerank,256,10,10,1,1,0.7801716783777378,0.8018099547511311,0.8018099547511313,00:02:47.534,True
pubmed,pagerank,256,10,10,1,1,0.7984928955825586,0.8113590263691683,0.8113590263691683,00:02:48.012,False
pubmed,pagerank,256,10,10,1,1,0.7696604905306742,0.792760180995475,0.7927601809954751,00:02:48.012,True
pubmed,pagerank,256,10,10,1,1,0.8086386251269877,0.8212474645030426,0.8212474645030426,00:02:46.738,False
pubmed,pagerank,256,10,10,1,1,0.7730855398831541,0.7963800904977375,0.7963800904977375,00:02:46.738,True
pubmed,pagerank,256,10,10,1,1,0.8038314103839728,0.8171906693711968,0.8171906693711968,00:02:47.884,False
pubmed,pagerank,256,10,10,1,1,0.777867145670286,0.8000000000000002,0.8,00:02:47.884,True
pubmed,pagerank,256,10,10,1,1,0.8053818129216855,0.8179513184584178,0.8179513184584178,00:02:47.511,False
pubmed,pagerank,256,10,10,1,1,0.7711280932014769,0.7972850678733032,0.7972850678733032,00:02:47.511,True
pubmed,pagerank,256,10,10,1,1,0.8056381553591422,0.8179513184584178,0.8179513184584178,00:02:48.446,False
pubmed,pagerank,256,10,10,1,1,0.7675247504164037,0.792760180995475,0.7927601809954751,00:02:48.446,True
